GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,O34E001,O34E002,O34E003,O34E004,O34E005,O34E006,O34E007,O34E008,O34E009,O34E010,O34E011,O34E012,O34E013,O34E014,O34E015,O34E016,O34E017,NAME_M,O34M001,O34M002,O34M003,O34M004,O34M005,O34M006,O34M007,O34M008,O34M009,O34M010,O34M011,O34M012,O34M013,O34M014,O34M015,O34M016,O34M017
"G08007850","2012","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",41382,5008,2892,2302,1330,1233,1570,1428,1736,1142,2819,3760,3698,3117,2795,3049,3503,"Boulder city, Colorado",1535,1168,847,841,527,380,677,481,612,509,703,833,798,783,789,811,765
"G08012815","2012","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",37459,741,631,615,503,597,1173,1071,1058,1275,2493,5272,5917,5296,3201,4123,3493,"Centennial city, Colorado",1437,359,260,269,275,309,483,387,404,493,617,793,991,844,715,843,700
"G08016000","2012","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",168699,10945,7709,10466,9708,8080,7385,7165,9894,6858,15864,16986,22079,13928,7876,8314,5442,"Colorado Springs city, Colorado",2869,1647,1402,1552,1395,1447,1279,1108,1601,1199,2061,1939,2220,1535,1343,1490,1070
"G08020000","2012","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",270439,23853,16771,14068,13982,14308,15491,11916,11910,11569,20239,26365,31204,17839,10893,14346,15685,"Denver city, Colorado",2772,2297,2289,1596,2010,1993,1838,1855,1469,1610,2177,2593,2417,2116,1578,2211,1680
"G08027425","2012","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",58401,4555,3222,3632,3938,2135,3256,2673,2999,1927,4473,5195,7369,4845,3060,3097,2025,"Fort Collins city, Colorado",2239,995,966,1069,959,755,896,894,778,760,975,1047,1182,1097,670,787,498
"G08032155","2012","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",33281,2460,1697,2033,2093,2497,2261,2337,1302,1947,2552,3672,3596,2148,1381,672,633,"Greeley city, Colorado",1370,621,556,742,585,756,697,860,403,609,722,730,753,549,729,341,391
"G08036410","2012","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",35950,1009,401,351,430,1091,1307,412,1305,905,2088,3198,5645,5312,3362,4568,4566,"Highlands Ranch CDP, Colorado",1594,550,239,252,262,531,703,242,624,463,623,713,906,838,652,966,884
"G08043000","2012","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",61169,4182,3192,3487,2983,2113,2898,2599,3399,2658,5565,6179,7937,5772,3435,2795,1975,"Lakewood city, Colorado",2150,997,861,836,713,647,760,726,847,823,1059,1132,1270,1131,704,742,541
"G08045970","2012","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",34325,2326,1547,1410,2796,1797,959,1505,1258,1907,1875,3988,4817,2595,2355,1813,1377,"Longmont city, Colorado",1617,848,586,545,877,613,392,637,433,833,717,903,971,734,755,611,559
"G08046465","2012","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",28717,1352,1410,1463,1994,1407,1449,1710,998,1055,2271,3407,5414,1982,886,1228,691,"Loveland city, Colorado",1491,564,594,606,910,797,538,689,432,443,831,935,1024,709,403,652,378
"G08062000","2012","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",42373,5437,3060,3517,3103,3975,2372,2500,1985,2712,3431,3367,3649,1545,735,766,219,"Pueblo city, Colorado",1535,993,706,790,667,808,731,647,625,724,793,742,872,443,304,341,141
"G08077290","2012","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",42113,1474,1420,745,2188,1276,3129,2159,1783,1834,4536,6175,6851,4439,2366,956,782,"Thornton city, Colorado",1739,661,618,410,734,559,995,761,777,622,960,1295,1409,1028,675,389,312
"G08083835","2012","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",42981,1962,1725,1054,1387,2107,1903,1655,1462,1853,3637,6023,7080,3950,2921,1882,2380,"Westminster city, Colorado",1396,640,584,465,527,719,634,485,472,790,874,1213,1337,803,768,586,629
"G09008000","2012","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",49887,5782,4134,4136,3499,3829,2570,1696,2194,1794,3879,4884,4841,3113,1440,951,1145,"Bridgeport city, Connecticut",2250,1061,854,927,926,1019,702,618,753,687,899,1130,1116,883,563,452,514
"G09018430","2012","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",29671,1499,1834,1218,1643,621,919,1387,1707,1065,2538,2655,3856,3360,2374,1811,1184,"Danbury city, Connecticut",1429,587,701,662,635,337,499,730,797,440,883,856,854,759,761,609,432
"G09037000","2012","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",43345,9405,4428,2503,3906,2935,2341,1874,2135,1790,2467,2862,2776,1949,843,707,424,"Hartford city, Connecticut",2064,1197,840,726,878,812,674,563,697,583,766,771,772,590,366,271,173
"G09050370","2012","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",26577,3183,2636,1673,2104,1829,1194,1461,1565,798,2133,2522,2193,1654,670,610,352,"New Britain city, Connecticut",1517,939,766,539,645,692,498,531,565,403,688,656,518,604,287,247,241
"G09052000","2012","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",51078,6664,4401,3704,3699,2956,3224,1852,2100,1853,4383,4065,4911,2579,1930,1330,1427,"New Haven city, Connecticut",1965,1206,1054,871,1068,856,909,648,680,569,1140,1104,944,769,676,487,482
"G09055990","2012","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",34957,2317,979,1047,1313,1879,751,1379,909,965,2963,4307,3425,2347,2736,3596,4044,"Norwalk city, Connecticut",1771,860,445,480,755,653,320,544,510,430,797,987,734,538,735,809,736
"G09073000","2012","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",46599,2261,1960,1056,2065,1537,1744,1407,1236,1891,3290,4626,5996,3988,3182,3402,6958,"Stamford city, Connecticut",1849,873,805,584,861,612,668,495,680,811,822,1180,1082,821,695,794,1094
"G09080000","2012","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",40992,4629,3135,2919,2537,2182,2633,2800,2368,1537,2206,4995,4084,2360,1190,764,653,"Waterbury city, Connecticut",1793,1012,756,894,720,528,750,839,804,718,664,1048,872,735,490,436,434
"G10077580","2012","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",29575,3538,2937,1658,1732,1878,2241,1070,1153,1148,2430,1942,3222,1949,1215,607,855,"Wilmington city, Delaware",1602,1000,754,577,720,577,745,455,409,632,810,712,828,696,447,281,386
"G11050000","2012","DC",,,"District Of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",266662,27616,11798,9977,10472,9779,9656,10143,10201,8752,14624,21466,27005,26297,15586,20977,32313,"Washington city, District of Columbia",3138,2593,1470,1431,1557,1669,1557,1713,1505,1499,1923,2225,2384,2405,1877,2304,2175
"G12000410","2012","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",28014,1868,666,636,1216,2196,1594,515,2139,824,2138,3574,4629,2240,2064,943,772,"Alafaya CDP, Florida",2849,1339,467,525,642,1447,1085,445,913,638,1069,1737,1682,1040,1048,694,585
"G12007300","2012","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",33784,1755,1475,1610,1109,1463,1299,1559,738,1183,2742,3045,2728,4172,2478,2107,4321,"Boca Raton city, Florida",1730,565,621,624,434,604,517,598,301,496,803,656,649,1011,729,583,884
"G12007875","2012","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",29040,2152,1476,1853,2089,1874,1670,2543,1088,1819,2796,2753,2279,2196,1121,483,848,"Boynton Beach city, Florida",1898,763,628,659,810,506,742,870,576,784,806,796,698,796,605,306,498
"G12008150","2012","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",38602,1479,1821,2435,1971,2043,1564,1780,2555,1847,4850,4650,4494,2801,2159,1220,933,"Brandon CDP, Florida",2331,559,800,875,703,707,600,743,722,645,1120,1164,952,667,822,474,476
"G12010275","2012","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",56705,3663,2373,3089,3416,2700,3487,3522,3581,3170,5861,6767,7090,3440,2164,1504,878,"Cape Coral city, Florida",2395,975,695,935,1031,873,910,1013,932,1166,1424,1358,1300,920,704,532,386
"G12012875","2012","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",46635,3302,3334,3162,3773,2762,2560,1969,3206,1870,3571,4066,3963,3494,2000,1930,1673,"Clearwater city, Florida",2168,848,923,931,1014,797,837,726,972,710,889,919,943,1017,743,645,726
"G12014400","2012","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",39177,1759,1251,1768,1216,1485,2160,2199,748,1860,2567,4140,6260,3961,3094,2417,2292,"Coral Springs city, Florida",2045,664,465,682,494,626,758,761,340,642,711,983,1156,925,807,734,791
"G12016475","2012","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",31635,3143,624,891,1406,1973,1821,1432,1300,1568,2204,2433,4157,2317,1879,2064,2423,"Davie town, Florida",1615,877,415,545,520,766,703,642,457,748,610,767,1036,647,801,803,710
"G12016725","2012","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",32625,4031,2813,1726,2200,2758,1710,2215,1983,1406,1815,3488,2673,1914,1069,457,367,"Deerfield Beach city, Florida",2331,1181,908,622,811,968,785,868,843,501,635,955,935,864,538,227,273
"G12017200","2012","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",29506,1449,2294,2656,2497,1534,949,2648,2335,1311,2967,3248,2879,1772,583,318,66,"Deltona city, Florida",1760,734,794,1199,1001,615,420,757,981,676,849,961,801,755,345,348,108
"G12024000","2012","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",69262,5348,4232,4018,3383,4075,3466,2728,3808,3136,4003,7851,8253,5066,2658,3348,3889,"Fort Lauderdale city, Florida",3233,1146,956,982,929,1046,856,693,1051,952,858,1525,1602,1080,861,850,914
"G12024125","2012","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",26600,3147,1913,2329,1342,2291,2204,1736,922,1590,1477,2548,2548,514,380,872,787,"Fort Myers city, Florida",1933,1066,733,717,473,745,821,683,456,635,557,905,670,291,267,578,351
"G12025175","2012","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",44559,9407,3167,2887,3410,4155,2145,1476,1870,1786,2515,3581,3287,1987,1088,654,1144,"Gainesville city, Florida",2554,1473,974,741,1041,952,735,574,655,539,857,811,848,745,512,361,537
"G12030000","2012","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",69816,11316,7329,6377,5859,5114,4230,3864,3162,3022,5410,4420,5204,2342,1119,633,415,"Hialeah city, Florida",2373,1704,1273,1292,1226,1162,945,1024,739,832,1063,1035,1093,641,446,360,364
"G12032000","2012","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",57364,4101,3535,4166,4609,3125,3179,3023,3449,3715,4916,4838,5285,3868,1894,1553,2108,"Hollywood city, Florida",2245,1101,917,1173,1083,837,1087,836,1058,950,1235,1177,1172,1123,584,508,619
"G12035000","2012","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",309087,28842,20688,21370,20941,16788,18728,16212,17170,12950,24655,30996,31196,20597,11325,10322,6307,"Jacksonville city, Florida",4957,2842,2380,2711,2439,2078,2689,2115,2050,1728,2388,2898,2823,2618,1809,1934,1397
"G12036100","2012","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",28757,2181,644,1807,1127,758,1383,1489,1272,1738,2659,2507,3527,1578,1572,2351,2164,"Kendall CDP, Florida",2162,1014,332,794,590,354,627,591,744,811,852,834,932,555,656,670,761
"G12038250","2012","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",39638,3256,3220,2520,2291,2828,3257,2448,2770,1638,3199,3834,4063,1534,913,981,886,"Lakeland city, Florida",1864,826,742,809,712,977,832,631,772,461,856,849,891,713,460,454,382
"G12039425","2012","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",37490,2886,1991,3217,3226,3726,2483,2108,2432,2420,3130,3950,3120,1407,509,583,302,"Largo city, Florida",2016,891,721,1013,876,966,896,706,828,892,894,884,821,659,345,346,234
"G12039550","2012","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",24410,3255,1835,1195,1901,2406,1795,1857,1723,611,2193,1252,1929,1593,583,240,42,"Lauderhill city, Florida",1947,954,844,516,773,1000,792,840,657,415,767,526,672,701,392,184,69
"G12039925","2012","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",31088,3007,2406,1908,3124,1620,2888,2324,1959,1827,3005,3085,2401,1108,311,115,0,"Lehigh Acres CDP, Florida",1943,738,727,624,1041,585,861,714,597,668,708,764,559,422,203,96,211
"G12043975","2012","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",33007,3633,2118,2574,2254,2370,2646,2263,1760,1097,2125,3718,2609,1994,676,598,572,"Melbourne city, Florida",1882,1039,617,822,814,891,1024,956,680,456,710,1197,700,604,402,294,361
"G12045000","2012","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",153740,29269,14088,12867,13939,8878,9696,6621,6617,5633,7509,10808,9729,7181,1804,3820,5281,"Miami city, Florida",4031,2421,1909,1838,2012,1607,1365,1300,1403,1184,1191,1638,1658,1557,601,1144,1282
"G12045025","2012","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",43453,4352,3220,3050,2951,2487,2399,2599,1911,1030,2284,2944,3765,3188,1367,1607,4299,"Miami Beach city, Florida",2192,1164,984,757,1050,773,921,758,637,396,731,907,915,883,579,666,978
"G12045060","2012","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",31109,3405,2311,2573,2998,1771,1633,1526,1430,2526,2757,2225,2088,1799,899,523,645,"Miami Gardens city, Florida",1483,909,875,839,1033,656,671,571,633,682,782,588,679,622,481,379,549
"G12045975","2012","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",38090,1584,831,1519,995,1147,1333,2760,3128,1215,2339,6852,5382,4240,2573,1201,991,"Miramar city, Florida",1997,551,462,670,575,554,831,784,1376,514,809,1975,1533,1283,1049,598,572
"G12053000","2012","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",102564,9091,7373,8187,6824,6591,6236,4532,5597,6153,8630,10269,9534,5947,2659,2054,2887,"Orlando city, Florida",3739,1846,1538,1638,1467,1428,1418,1097,1244,1295,1476,1607,1663,1386,846,783,849
"G12054000","2012","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",37700,3015,2573,4155,1669,3422,2731,2188,961,1911,3164,2978,4704,1866,1271,639,453,"Palm Bay city, Florida",2300,1117,957,1349,755,1052,955,858,478,950,834,855,1317,725,471,366,376
"G12054200","2012","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",28105,1330,1826,2249,2137,1546,1508,2113,2054,1893,2586,2769,2621,1475,764,699,535,"Palm Coast city, Florida",1785,548,934,699,678,657,587,787,609,661,737,809,734,604,448,412,379
"G12055775","2012","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",57150,3959,2574,2801,3344,1965,2604,3130,1935,2838,3947,4910,7436,6408,3829,3588,1882,"Pembroke Pines city, Florida",2648,1378,1158,1025,932,846,956,983,750,1188,1147,1164,1633,1075,1126,961,584
"G12056825","2012","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",18592,1248,1309,2302,1100,1438,1751,1326,922,790,932,1724,1762,1179,534,214,61,"Pine Hills CDP, Florida",1686,470,547,924,472,648,692,564,437,374,555,611,566,541,359,211,73
"G12057425","2012","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",33753,1353,1862,968,2093,1260,904,1357,1401,1690,1897,4514,4378,4026,1239,1966,2845,"Plantation city, Florida",1580,593,751,430,715,574,401,573,622,633,643,1196,919,944,520,649,690
"G12058050","2012","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",39679,3003,3302,2247,2577,2862,2998,2279,2212,1332,3853,4131,3487,1716,865,1575,1240,"Pompano Beach city, Florida",2327,860,918,759,629,833,939,818,792,605,1120,922,979,737,379,657,578
"G12058715","2012","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",59766,2505,2032,3988,2545,3752,3466,4107,4943,3956,5866,4816,8999,4284,1459,1695,1353,"Port St. Lucie city, Florida",2410,1075,921,1187,771,1243,1300,1371,1429,1358,1814,1202,1868,1171,680,839,1074
"G12060950","2012","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",26709,795,1195,1184,828,1890,858,1173,1378,1093,2602,2992,4888,2796,1334,1393,310,"Riverview CDP, Florida",1865,450,640,535,389,752,365,405,695,500,907,995,1249,745,627,568,204
"G12063000","2012","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",105668,10061,6656,4633,7165,7353,4919,6720,5223,5366,9592,10700,10335,6731,2740,3111,4363,"St. Petersburg city, Florida",2623,1785,1242,1016,1141,1368,1123,1334,1036,1541,1330,1693,1459,1203,651,932,828
"G12068350","2012","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",38264,3353,2621,2967,3937,2684,2768,2020,2159,2521,3387,3546,3677,1486,395,206,537,"Spring Hill CDP, Florida",2127,1036,805,890,892,709,711,696,693,882,821,865,765,566,284,198,366
"G12069700","2012","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",31667,1923,2000,2555,1522,1073,1553,1923,1594,1653,2695,3944,3827,2406,1445,1079,475,"Sunrise city, Florida",1626,631,681,822,620,437,635,688,676,743,842,972,1074,662,518,493,274
"G12070600","2012","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",72133,10640,6015,5080,4005,3726,3902,2747,4049,2862,5507,5824,6600,4333,2894,1916,2033,"Tallahassee city, Florida",2547,1804,1464,1298,1058,1158,1124,784,1034,724,1293,1075,1444,1016,875,601,595
"G12071000","2012","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",139401,16828,11203,9542,8792,6752,9058,5812,7620,4637,10157,11046,10695,8380,4997,5293,8589,"Tampa city, Florida",3881,1872,1425,1521,1151,1176,1497,1162,1527,954,1553,1441,1499,1329,1125,890,1294
"G12072145","2012","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",29326,1886,1481,1553,2334,1772,2022,1655,1881,1435,1959,3740,3435,1860,577,486,1250,"Town 'n' Country CDP, Florida",2317,699,733,563,1006,669,834,674,718,587,759,1080,917,765,388,269,493
"G12076582","2012","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",20612,253,297,524,815,322,660,429,1326,471,1746,2171,2485,1935,1838,2833,2507,"Weston city, Florida",1419,216,229,390,611,279,453,307,725,319,942,832,749,758,693,985,792
"G12076600","2012","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"16000US1276600","West Palm Beach city, Florida",43303,3678,3077,3069,3310,2518,4262,1640,2113,1640,2667,3224,3685,3059,1253,1280,2828,"West Palm Beach city, Florida",2809,986,936,882,982,814,862,624,846,585,629,767,989,818,545,546,1064
"G13001052","2012","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"16000US1301052","Albany city, Georgia",29597,6628,2524,2158,1819,2085,2031,1278,1209,1079,1843,2409,2152,815,436,533,598,"Albany city, Georgia",1420,1001,629,644,710,655,648,407,618,442,516,605,657,429,252,404,353
"G13003440","2012","GA",,,"Georgia","13",,,"Athens-Clarke County unified government (balance)","03440",,,,,,,,,,,,,,,,"16000US1303440","Athens-Clarke County unified government (balance), Georgia",40219,7885,3603,2777,2598,1972,2628,1714,1625,1282,3055,2704,2744,2317,1155,937,1223,"Athens-Clarke County unified government (balance), Georgia",1819,1495,861,722,875,655,806,566,639,482,781,769,725,644,466,446,444
"G13004000","2012","GA",,,"Georgia","13",,,"Atlanta city","04000",,,,,,,,,,,,,,,,"16000US1304000","Atlanta city, Georgia",183442,24243,12845,10169,10567,8550,8770,7867,6281,7309,13161,15271,14825,12331,6100,10099,15054,"Atlanta city, Georgia",4525,2463,1605,1363,1625,1565,1366,1467,1089,1435,1756,1912,1730,1654,1102,1596,1623
"G13004204","2012","GA",,,"Georgia","13",,,"Augusta-Richmond County consolidated government (balance)","04204",,,,,,,,,,,,,,,,"16000US1304204","Augusta-Richmond County consolidated government (balance), Georgia",71633,9717,5740,4913,5185,4656,3709,4435,4265,3291,5475,6118,7125,2314,1706,1621,1363,"Augusta-Richmond County consolidated government (balance), Georgia",2160,1497,1139,1227,1244,1258,927,1063,1095,1136,1085,1175,1380,619,552,651,572
"G13019000","2012","GA",,,"Georgia","13",,,"Columbus city","19000",,,,,,,,,,,,,,,,"16000US1319000","Columbus city, Georgia",71719,7719,4417,3704,5298,3590,4456,4069,2440,3725,6514,8234,8689,3758,1425,1786,1895,"Columbus city, Georgia",2110,1101,1043,661,941,949,1138,891,768,792,1266,1461,1320,1081,463,627,487
"G13042425","2012","GA",,,"Georgia","13",,,"Johns Creek city","42425",,,,,,,,,,,,,,,,"16000US1342425","Johns Creek city, Georgia",26316,461,777,237,489,500,421,519,1017,855,1643,1861,4303,2151,1831,3728,5523,"Johns Creek city, Georgia",1269,380,543,231,427,390,358,475,495,628,792,834,1227,841,578,954,1327
"G13049000","2012","GA",,,"Georgia","13",,,"Macon city","49000",,,,,,,,,,,,,,,,"16000US1349000","Macon city, Georgia",31995,7300,3956,2906,2413,2054,2167,2271,781,1120,1381,2322,1221,514,492,568,529,"Macon city, Georgia",1847,1127,815,682,612,667,580,719,399,485,499,599,444,291,302,380,237
"G13067284","2012","GA",,,"Georgia","13",,,"Roswell city","67284",,,,,,,,,,,,,,,,"16000US1367284","Roswell city, Georgia",34529,1510,829,756,988,1498,1887,2243,1317,958,1511,2595,3799,3688,2842,3498,4610,"Roswell city, Georgia",1862,659,445,410,473,728,931,932,711,602,768,942,904,782,777,920,830
"G13068516","2012","GA",,,"Georgia","13",,,"Sandy Springs city","68516",,,,,,,,,,,,,,,,"16000US1368516","Sandy Springs city, Georgia",42305,1976,1306,1360,1541,2194,1753,2077,2342,1541,4496,3849,4738,2750,1753,3403,5226,"Sandy Springs city, Georgia",2280,717,544,807,654,1119,887,885,906,502,1177,1151,1212,866,542,1020,987
"G13069000","2012","GA",,,"Georgia","13",,,"Savannah city","69000",,,,,,,,,,,,,,,,"16000US1369000","Savannah city, Georgia",53257,7990,5597,3963,3706,3255,3150,3532,2869,2550,4112,4213,3569,2136,617,1069,929,"Savannah city, Georgia",2359,1199,1037,1014,746,804,729,774,747,656,954,915,748,645,242,395,355
"G13080508","2012","GA",,,"Georgia","13",,,"Warner Robins city","80508",,,,,,,,,,,,,,,,"16000US1380508","Warner Robins city, Georgia",25761,2488,1884,3042,1770,624,832,1716,1136,1363,1925,3501,2386,1705,507,769,113,"Warner Robins city, Georgia",1594,964,1008,1196,736,393,617,893,635,524,783,880,863,628,406,608,153
"G15071550","2012","HI",,,"Hawaii","15",,,"Urban Honolulu CDP","71550",,,,,,,,,,,,,,,,"16000US1571550","Urban Honolulu CDP, Hawaii",124455,8874,6024,4924,4976,5617,5879,4590,5909,6118,9783,13467,16956,11298,6020,8117,5903,"Urban Honolulu CDP, Hawaii",2940,1551,1189,1072,1044,1178,1071,834,1115,1188,1349,1595,1979,1361,1002,1298,949
"G16008830","2012","ID",,,"Idaho","16",,,"Boise City city","08830",,,,,,,,,,,,,,,,"16000US1608830","Boise City city, Idaho",88900,5831,5529,5057,4886,4835,6872,4540,4998,3631,6808,9217,10037,6108,3669,3747,3135,"Boise City city, Idaho",2055,1347,1324,1245,1089,1285,1444,1072,1381,982,1488,1328,1473,1104,796,1119,806
