GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJCTE001,AJCTE002,AJCTE003,AJCTE004,AJCTE005,AJCTE006,AJCTE007,AJCTE008,AJCTE009,AJCTE010,AJCTE011,AJCTE012,AJCTE013,AJCTE014,AJCTE015,AJCTE016,AJCTE017,NAME_M,AJCTM001,AJCTM002,AJCTM003,AJCTM004,AJCTM005,AJCTM006,AJCTM007,AJCTM008,AJCTM009,AJCTM010,AJCTM011,AJCTM012,AJCTM013,AJCTM014,AJCTM015,AJCTM016,AJCTM017
"G18071000","2018","IN",,,"Indiana","18",,,"South Bend city","71000",,,,,,,,,,,,,,,,"16000US1871000","South Bend city, Indiana",40315,3708,2680,2424,2672,2987,2170,3229,2243,1530,2623,4103,3906,2784,1396,1005,855,"South Bend city, Indiana",1934,928,690,611,703,789,589,845,647,462,721,957,868,723,417,357,326
"G19001855","2018","IA",,,"Iowa","19",,,"Ames city","01855",,,,,,,,,,,,,,,,"16000US1901855","Ames city, Iowa",25470,4037,1358,419,1300,1323,621,824,1288,1621,2030,3074,2349,1788,1410,1001,1027,"Ames city, Iowa",1386,1179,955,259,566,708,357,419,588,907,680,712,681,618,732,482,618
"G19002305","2018","IA",,,"Iowa","19",,,"Ankeny city","02305",,,,,,,,,,,,,,,,"16000US1902305","Ankeny city, Iowa",25445,214,560,242,673,1086,627,791,1681,692,1805,4476,3223,3018,2272,2099,1986,"Ankeny city, Iowa",1747,209,344,264,553,553,396,519,1239,419,880,1604,902,1105,1199,969,903
"G19012000","2018","IA",,,"Iowa","19",,,"Cedar Rapids city","12000",,,,,,,,,,,,,,,,"16000US1912000","Cedar Rapids city, Iowa",54234,2721,2576,2299,2190,2844,2590,2190,2422,1617,5776,6311,7792,5088,3344,2312,2162,"Cedar Rapids city, Iowa",1853,856,819,629,800,793,784,598,737,589,1329,1227,1210,1039,986,560,619
"G19019000","2018","IA",,,"Iowa","19",,,"Davenport city","19000",,,,,,,,,,,,,,,,"16000US1919000","Davenport city, Iowa",38994,2903,1684,2120,2746,2207,1958,2610,1678,2412,3094,3482,4964,2416,1833,1384,1503,"Davenport city, Iowa",1712,863,586,755,834,663,635,812,634,834,706,828,1093,694,531,584,455
"G19021000","2018","IA",,,"Iowa","19",,,"Des Moines city","21000",,,,,,,,,,,,,,,,"16000US1921000","Des Moines city, Iowa",83972,5620,3527,4331,4990,5305,4471,3862,3849,3796,6737,8393,11891,7705,4099,2933,2463,"Des Moines city, Iowa",2433,1267,895,1082,1027,1347,1069,831,962,818,1228,1129,1894,1200,1028,806,599
"G19038595","2018","IA",,,"Iowa","19",,,"Iowa City city","38595",,,,,,,,,,,,,,,,"16000US1938595","Iowa City city, Iowa",31833,4501,1996,1773,1718,1056,1782,1285,1374,1354,1683,2670,3244,2528,1397,1390,2082,"Iowa City city, Iowa",1699,1301,707,710,656,540,803,579,627,590,595,732,794,826,560,516,605
"G19073335","2018","IA",,,"Iowa","19",,,"Sioux City city","73335",,,,,,,,,,,,,,,,"16000US1973335","Sioux City city, Iowa",31318,1535,1428,800,1948,2194,1983,1213,1234,862,2273,3279,4979,2616,1328,2362,1284,"Sioux City city, Iowa",1138,696,487,468,531,827,929,503,523,361,690,911,1108,697,567,845,589
"G19082425","2018","IA",,,"Iowa","19",,,"Waterloo city","82425",,,,,,,,,,,,,,,,"16000US1982425","Waterloo city, Iowa",29104,1725,2537,1765,1576,1903,2524,1052,1290,1337,2882,3426,3036,1909,700,751,691,"Waterloo city, Iowa",1201,484,825,608,552,693,830,460,515,450,766,730,626,622,347,361,369
"G19083910","2018","IA",,,"Iowa","19",,,"West Des Moines city","83910",,,,,,,,,,,,,,,,"16000US1983910","West Des Moines city, Iowa",29398,863,429,888,1014,1566,1233,1500,1169,1125,1700,3392,3890,2270,2814,3203,2342,"West Des Moines city, Iowa",1853,451,400,514,670,734,605,702,686,548,700,1072,971,666,889,970,591
"G20036000","2018","KS",,,"Kansas","20",,,"Kansas City city","36000",,,,,,,,,,,,,,,,"16000US2036000","Kansas City city, Kansas",56587,5533,2475,2486,4071,3936,3198,2990,2475,3461,4355,7340,5634,4998,1254,1413,968,"Kansas City city, Kansas",1519,1014,704,682,863,1043,825,748,648,937,921,1337,905,1115,521,460,426
"G20038900","2018","KS",,,"Kansas","20",,,"Lawrence city","38900",,,,,,,,,,,,,,,,"16000US2038900","Lawrence city, Kansas",40407,4089,1981,1943,2499,2276,1448,1026,2209,1901,3208,4704,3851,3458,2008,1997,1809,"Lawrence city, Kansas",1185,1392,955,871,999,870,795,555,918,732,1073,1233,947,935,663,638,584
"G20052575","2018","KS",,,"Kansas","20",,,"Olathe city","52575",,,,,,,,,,,,,,,,"16000US2052575","Olathe city, Kansas",48543,1715,1013,1181,1158,957,2311,1362,1793,1490,3419,5063,7581,6858,4554,5436,2652,"Olathe city, Kansas",1609,529,569,688,512,423,710,555,650,606,698,1238,1197,1054,816,982,720
"G20053775","2018","KS",,,"Kansas","20",,,"Overland Park city","53775",,,,,,,,,,,,,,,,"16000US2053775","Overland Park city, Kansas",79571,1956,1743,1870,1292,3255,2273,2528,2795,3166,6727,7699,10982,7992,5358,8885,11050,"Overland Park city, Kansas",2144,663,542,708,544,877,723,902,763,808,1416,1197,1452,1296,904,1383,1120
"G20064500","2018","KS",,,"Kansas","20",,,"Shawnee city","64500",,,,,,,,,,,,,,,,"16000US2064500","Shawnee city, Kansas",23817,1138,745,189,503,1123,862,733,454,459,1743,2619,3319,2161,2126,2567,3076,"Shawnee city, Kansas",1322,657,518,192,266,629,501,437,357,276,650,712,835,697,619,633,942
"G20071000","2018","KS",,,"Kansas","20",,,"Topeka city","71000",,,,,,,,,,,,,,,,"16000US2071000","Topeka city, Kansas",54697,4808,3245,3182,3177,2610,3352,3059,4489,2747,3310,5384,6176,4411,1091,1820,1836,"Topeka city, Kansas",1845,1055,860,982,834,656,962,823,1089,776,810,926,1080,957,379,659,656
"G20079000","2018","KS",,,"Kansas","20",,,"Wichita city","79000",,,,,,,,,,,,,,,,"16000US2079000","Wichita city, Kansas",154512,10577,7167,9360,9292,7959,8938,6292,8888,6935,11687,17676,17750,11366,6643,7854,6128,"Wichita city, Kansas",2950,1835,1181,1583,1629,1298,1518,1129,1560,1097,1780,2221,2118,1700,1200,1199,1162
"G21008902","2018","KY",,,"Kentucky","21",,,"Bowling Green city","08902",,,,,,,,,,,,,,,,"16000US2108902","Bowling Green city, Kentucky",25223,2466,2422,1227,1808,1636,1519,1873,803,821,1927,2365,2920,1182,1365,340,549,"Bowling Green city, Kentucky",1383,1074,894,694,717,557,754,822,576,461,692,890,1025,551,666,239,336
"G21046027","2018","KY",,,"Kentucky","21",,,"Lexington-Fayette urban county","46027",,,,,,,,,,,,,,,,"16000US2146027","Lexington-Fayette urban county, Kentucky",131067,7796,4776,4986,5952,6922,8202,7627,6538,7119,10318,11686,14816,9507,8448,8430,7944,"Lexington-Fayette urban county, Kentucky",2335,1352,1355,1235,1199,1567,1464,1592,1441,1340,1679,1598,2136,1397,1373,1490,1185
"G21048006","2018","KY",,,"Kentucky","21",,,"Louisville/Jefferson County metro government (balance)","48006",,,,,,,,,,,,,,,,"16000US2148006","Louisville/Jefferson County metro government (balance), Kentucky",247339,18736,15703,12581,13237,11176,13755,10974,10939,10740,21772,23148,29180,18823,11665,12698,12212,"Louisville/Jefferson County metro government (balance), Kentucky",3304,2516,2359,1910,1774,2041,1796,1771,1534,1759,2879,2367,2608,1912,1712,1773,1922
"G22005000","2018","LA",,,"Louisiana","22",,,"Baton Rouge city","05000",,,,,,,,,,,,,,,,"16000US2205000","Baton Rouge city, Louisiana",85723,9479,4321,6200,5484,5042,5253,4748,3794,3738,4907,6334,7621,6872,2578,4054,5298,"Baton Rouge city, Louisiana",3303,1927,1300,1802,1576,1608,1299,1306,1156,1006,1308,1345,1913,1729,730,984,1277
"G22008920","2018","LA",,,"Louisiana","22",,,"Bossier City city","08920",,,,,,,,,,,,,,,,"16000US2208920","Bossier City city, Louisiana",27128,1237,1797,1367,1149,2060,1662,948,890,1439,3285,2142,3519,2199,1680,993,761,"Bossier City city, Louisiana",1775,501,831,581,679,965,838,618,490,919,1080,828,899,815,698,468,512
"G22039475","2018","LA",,,"Louisiana","22",,,"Kenner city","39475",,,,,,,,,,,,,,,,"16000US2239475","Kenner city, Louisiana",26412,1956,1400,1834,1658,1507,1119,1472,1221,1350,2074,2256,2950,2080,1701,710,1124,"Kenner city, Louisiana",1781,696,545,814,660,745,587,721,574,607,716,694,1080,706,693,387,547
"G22040735","2018","LA",,,"Louisiana","22",,,"Lafayette city","40735",,,,,,,,,,,,,,,,"16000US2240735","Lafayette city, Louisiana",51596,5044,2641,1957,4134,2674,2864,1618,2139,1737,2869,6746,5532,4090,1573,2757,3221,"Lafayette city, Louisiana",2316,1545,917,703,1206,942,967,664,889,805,920,1685,1292,1118,663,915,908
"G22041155","2018","LA",,,"Louisiana","22",,,"Lake Charles city","41155",,,,,,,,,,,,,,,,"16000US2241155","Lake Charles city, Louisiana",32981,2803,1908,3391,2565,1453,1405,1682,1832,1289,2141,3864,2870,2178,1122,1272,1206,"Lake Charles city, Louisiana",1842,1014,780,1196,1003,686,756,794,761,598,898,1124,915,1161,561,545,516
"G22050115","2018","LA",,,"Louisiana","22",,,"Metairie CDP","50115",,,,,,,,,,,,,,,,"16000US2250115","Metairie CDP, Louisiana",57822,3164,2761,3734,3387,2280,1844,3577,2659,3030,3885,4501,7239,4886,3517,3592,3766,"Metairie CDP, Louisiana",2907,1016,889,1382,930,698,578,1192,953,970,778,754,1161,830,943,1007,983
"G22055000","2018","LA",,,"Louisiana","22",,,"New Orleans city","55000",,,,,,,,,,,,,,,,"16000US2255000","New Orleans city, Louisiana",155104,23009,14189,9888,10781,6751,7412,7481,5732,4341,10582,11995,12656,9608,6100,6150,8429,"New Orleans city, Louisiana",2460,2103,1616,1382,1239,1051,1237,1176,1067,851,1456,1777,1305,1061,959,975,933
"G22070000","2018","LA",,,"Louisiana","22",,,"Shreveport city","70000",,,,,,,,,,,,,,,,"16000US2270000","Shreveport city, Louisiana",74650,7734,5534,5446,6916,5673,4261,4834,3964,1271,5826,6596,5646,4770,1865,2165,2149,"Shreveport city, Louisiana",2150,1302,1022,1257,1594,1288,1376,1354,968,528,1330,1298,1271,1036,550,799,826
"G23060545","2018","ME",,,"Maine","23",,,"Portland city","60545",,,,,,,,,,,,,,,,"16000US2360545","Portland city, Maine",31193,2146,2050,1124,1412,1459,1029,1073,1143,1367,2283,3561,4356,3156,1747,1625,1662,"Portland city, Maine",1466,722,732,488,740,620,486,431,539,780,629,844,866,812,502,550,407
"G24004000","2018","MD",,,"Maryland","24",,,"Baltimore city","04000",,,,,,,,,,,,,,,,"16000US2404000","Baltimore city, Maryland",237204,26831,16260,12537,8587,9533,11327,10052,13761,7300,20299,18708,26288,18566,11145,11767,14243,"Baltimore city, Maryland",3359,3139,2030,1776,1618,1607,1936,1424,2018,1380,2084,2261,2447,1977,1591,1703,1391
"G24019125","2018","MD",,,"Maryland","24",,,"Columbia CDP","19125",,,,,,,,,,,,,,,,"16000US2419125","Columbia CDP, Maryland",41195,1243,1348,503,825,1308,898,510,986,424,2327,2976,6301,5258,3274,5539,7475,"Columbia CDP, Maryland",1782,573,702,438,670,659,684,341,476,328,785,938,1172,1111,962,1039,1217
"G24026000","2018","MD",,,"Maryland","24",,,"Ellicott City CDP","26000",,,,,,,,,,,,,,,,"16000US2426000","Ellicott City CDP, Maryland",26732,756,411,350,257,570,420,828,464,980,2111,1498,2339,2152,1485,4660,7451,"Ellicott City CDP, Maryland",1726,463,240,317,224,373,278,550,379,604,812,470,765,881,478,1182,939
"G24030325","2018","MD",,,"Maryland","24",,,"Frederick city","30325",,,,,,,,,,,,,,,,"16000US2430325","Frederick city, Maryland",28558,590,1249,1055,718,512,565,1626,1694,981,1981,3303,4440,3696,1406,2451,2291,"Frederick city, Maryland",1439,379,784,709,437,298,359,712,647,498,736,1009,994,993,427,912,541
"G24031175","2018","MD",,,"Maryland","24",,,"Gaithersburg city","31175",,,,,,,,,,,,,,,,"16000US2431175","Gaithersburg city, Maryland",25404,1640,798,462,1800,398,451,854,1104,857,1412,2727,3121,2322,1516,1934,4008,"Gaithersburg city, Maryland",1666,778,444,311,830,291,242,489,590,506,649,903,870,645,478,659,650
"G24032025","2018","MD",,,"Maryland","24",,,"Germantown CDP","32025",,,,,,,,,,,,,,,,"16000US2432025","Germantown CDP, Maryland",28989,967,678,176,306,997,846,634,829,745,1660,3560,4281,3143,3633,2843,3691,"Germantown CDP, Maryland",1909,460,514,173,212,709,636,335,414,404,774,963,1079,847,1078,805,990
"G24032650","2018","MD",,,"Maryland","24",,,"Glen Burnie CDP","32650",,,,,,,,,,,,,,,,"16000US2432650","Glen Burnie CDP, Maryland",26808,717,1208,980,949,1118,592,1183,1029,1149,1761,3995,3332,3479,2005,1836,1475,"Glen Burnie CDP, Maryland",2021,427,585,611,553,566,393,573,593,591,800,907,840,1106,691,670,634
"G24067675","2018","MD",,,"Maryland","24",,,"Rockville city","67675",,,,,,,,,,,,,,,,"16000US2467675","Rockville city, Maryland",25870,1356,718,530,251,586,467,776,872,471,573,1137,3569,2867,2974,2795,5928,"Rockville city, Maryland",1691,689,500,460,209,347,306,488,519,276,312,463,792,671,880,733,929
"G24072450","2018","MD",,,"Maryland","24",,,"Silver Spring CDP","72450",,,,,,,,,,,,,,,,"16000US2472450","Silver Spring CDP, Maryland",32138,1254,1257,993,644,685,1610,953,1077,379,1630,3484,4615,3455,1929,3816,4357,"Silver Spring CDP, Maryland",1901,664,719,543,436,327,901,533,627,251,809,1234,1277,939,648,995,803
"G24081175","2018","MD",,,"Maryland","24",,,"Waldorf CDP","81175",,,,,,,,,,,,,,,,"16000US2481175","Waldorf CDP, Maryland",28490,1006,617,1013,430,825,648,487,795,586,2982,2643,4596,4117,1936,3312,2497,"Waldorf CDP, Maryland",1670,759,479,697,319,590,472,264,455,583,1020,834,1005,1080,826,876,772
"G25007000","2018","MA",,,"Massachusetts","25",,,"Boston city","07000",,,,,,,,,,,,,,,,"16000US2507000","Boston city, Massachusetts",274674,26443,17469,12534,9497,8374,7244,6910,10007,6895,14940,19845,31701,24522,17262,26085,34946,"Boston city, Massachusetts",3813,2557,2610,2155,1703,1644,1320,1312,1741,1258,2051,2616,3135,2205,1966,2646,2582
"G25009000","2018","MA",,,"Massachusetts","25",,,"Brockton city","09000",,,,,,,,,,,,,,,,"16000US2509000","Brockton city, Massachusetts",31852,2304,2267,1484,701,1131,1018,1091,1729,1351,2037,2778,4052,3757,1903,2581,1668,"Brockton city, Massachusetts",1654,740,792,664,423,559,509,525,790,568,667,657,1117,847,603,950,709
"G25011000","2018","MA",,,"Massachusetts","25",,,"Cambridge city","11000",,,,,,,,,,,,,,,,"16000US2511000","Cambridge city, Massachusetts",46383,3280,1211,1246,1607,1333,572,1011,1018,863,2028,3723,3821,6625,3452,4678,9915,"Cambridge city, Massachusetts",2061,757,599,517,709,542,329,576,414,421,586,885,966,1016,867,908,1207
"G25023000","2018","MA",,,"Massachusetts","25",,,"Fall River city","23000",,,,,,,,,,,,,,,,"16000US2523000","Fall River city, Massachusetts",38136,3112,2906,1825,3299,3424,1723,1390,1399,1572,3234,3998,4660,1789,1855,1528,422,"Fall River city, Massachusetts",1949,1001,899,735,1005,1071,639,831,602,645,855,1010,1032,741,680,684,287
"G25024960","2018","MA",,,"Massachusetts","25",,,"Framingham city","24960",,,,,,,,,,,,,,,,"16000US2524960","Framingham city, Massachusetts",28470,1243,357,807,868,695,1167,834,1366,872,2244,2349,3820,2952,2139,3346,3411,"Framingham city, Massachusetts",1670,671,239,536,656,402,588,480,745,498,671,902,1102,999,860,832,850
"G25034550","2018","MA",,,"Massachusetts","25",,,"Lawrence city","34550",,,,,,,,,,,,,,,,"16000US2534550","Lawrence city, Massachusetts",25992,2688,2564,1667,1736,1547,1545,1082,1478,942,1924,2057,2663,1889,917,754,539,"Lawrence city, Massachusetts",1717,764,861,759,594,642,582,546,669,526,755,672,778,609,488,406,348
"G25037000","2018","MA",,,"Massachusetts","25",,,"Lowell city","37000",,,,,,,,,,,,,,,,"16000US2537000","Lowell city, Massachusetts",37902,2684,2402,1880,2339,1650,1662,1406,1639,1045,2273,3819,6422,2625,2254,2425,1377,"Lowell city, Massachusetts",2641,864,746,759,773,724,795,549,604,526,714,864,1386,782,857,832,498
"G25037490","2018","MA",,,"Massachusetts","25",,,"Lynn city","37490",,,,,,,,,,,,,,,,"16000US2537490","Lynn city, Massachusetts",31429,3067,1818,1297,1876,839,1398,1577,1142,1529,1874,3731,3573,2429,2040,2098,1141,"Lynn city, Massachusetts",2041,987,654,541,973,449,605,730,515,773,660,955,878,698,726,716,497
"G25045000","2018","MA",,,"Massachusetts","25",,,"New Bedford city","45000",,,,,,,,,,,,,,,,"16000US2545000","New Bedford city, Massachusetts",37910,3519,2443,1992,2566,1954,1671,2054,1485,1647,3434,3616,4166,3396,1811,1400,756,"New Bedford city, Massachusetts",1603,970,628,662,809,700,570,721,615,629,884,956,1029,845,661,451,494
"G25045560","2018","MA",,,"Massachusetts","25",,,"Newton city","45560",,,,,,,,,,,,,,,,"16000US2545560","Newton city, Massachusetts",31221,1124,540,297,701,473,641,867,879,298,1051,1408,2909,2994,2300,3807,10932,"Newton city, Massachusetts",1213,687,363,211,428,250,297,369,469,212,458,507,771,728,729,775,1096
"G25055745","2018","MA",,,"Massachusetts","25",,,"Quincy city","55745",,,,,,,,,,,,,,,,"16000US2555745","Quincy city, Massachusetts",40199,1901,1705,1542,1748,961,1132,1610,1047,1747,2781,4210,6165,3610,3671,3245,3124,"Quincy city, Massachusetts",1778,765,741,657,699,487,614,763,502,633,907,1153,1181,1003,1070,857,909
"G25062535","2018","MA",,,"Massachusetts","25",,,"Somerville city","62535",,,,,,,,,,,,,,,,"16000US2562535","Somerville city, Massachusetts",33113,1577,1437,1031,919,492,1136,435,521,499,2012,2455,3800,5289,2498,4719,4293,"Somerville city, Massachusetts",1992,883,815,635,677,317,559,251,401,269,756,761,906,1192,861,969,903
"G25067000","2018","MA",,,"Massachusetts","25",,,"Springfield city","67000",,,,,,,,,,,,,,,,"16000US2567000","Springfield city, Massachusetts",57078,8603,4544,4542,4329,3549,4375,2263,2369,1556,3794,4489,4842,3507,1688,1319,1309,"Springfield city, Massachusetts",2493,1654,1146,1225,1265,1152,1244,724,921,620,1007,1068,1174,1022,483,578,528
"G25082000","2018","MA",,,"Massachusetts","25",,,"Worcester city","82000",,,,,,,,,,,,,,,,"16000US2582000","Worcester city, Massachusetts",71688,6621,4408,4804,5334,2984,2975,3668,3704,2741,4883,7885,7325,5038,3244,3290,2784,"Worcester city, Massachusetts",3338,1539,1314,1256,1435,843,1001,1154,950,916,1219,1586,1390,1387,902,732,708
"G26003000","2018","MI",,,"Michigan","26",,,"Ann Arbor city","03000",,,,,,,,,,,,,,,,"16000US2603000","Ann Arbor city, Michigan",46385,6006,2228,1644,1588,1153,1617,1651,1153,1128,3071,4281,4514,3522,2872,4633,5324,"Ann Arbor city, Michigan",2015,1095,804,605,591,541,554,637,491,451,675,1107,899,715,760,809,863
"G26021000","2018","MI",,,"Michigan","26",,,"Dearborn city","21000",,,,,,,,,,,,,,,,"16000US2621000","Dearborn city, Michigan",31061,2728,1863,1813,1700,986,1223,1329,1563,962,2361,3465,3900,3070,1529,1541,1028,"Dearborn city, Michigan",1607,784,698,526,656,386,470,475,618,279,639,852,881,672,497,504,395
"G26022000","2018","MI",,,"Michigan","26",,,"Detroit city","22000",,,,,,,,,,,,,,,,"16000US2622000","Detroit city, Michigan",266333,52354,20502,18099,18035,17615,20705,14987,12020,12548,18367,20458,18259,9875,5024,4080,3405,"Detroit city, Michigan",4358,3719,2458,2122,1861,2484,2049,1810,1798,1906,2443,2268,2174,1692,1047,869,1061
"G26027440","2018","MI",,,"Michigan","26",,,"Farmington Hills city","27440",,,,,,,,,,,,,,,,"16000US2627440","Farmington Hills city, Michigan",33415,1086,929,1012,648,883,977,1130,1575,781,1909,3985,4164,4568,2156,4650,2962,"Farmington Hills city, Michigan",1778,527,519,428,319,458,539,486,508,528,647,1026,823,848,647,1109,621
"G26029000","2018","MI",,,"Michigan","26",,,"Flint city","29000",,,,,,,,,,,,,,,,"16000US2629000","Flint city, Michigan",42468,8144,3444,3319,3498,3271,2732,2705,3158,1368,2703,2703,3407,873,345,389,409,"Flint city, Michigan",2067,1607,1104,1165,997,918,873,778,974,638,878,822,905,387,283,386,256
"G26034000","2018","MI",,,"Michigan","26",,,"Grand Rapids city","34000",,,,,,,,,,,,,,,,"16000US2634000","Grand Rapids city, Michigan",75472,7009,3123,3651,4072,2506,4186,3828,4471,3902,6178,8619,9589,5539,3231,2367,3201,"Grand Rapids city, Michigan",2600,1630,870,1061,1035,591,983,767,1068,763,1078,1351,1351,932,758,740,842
"G26042160","2018","MI",,,"Michigan","26",,,"Kalamazoo city","42160",,,,,,,,,,,,,,,,"16000US2642160","Kalamazoo city, Michigan",27863,2864,1929,1103,2328,1868,1716,1242,1621,1083,2670,2437,3151,1433,749,1047,622,"Kalamazoo city, Michigan",1745,760,703,478,789,685,573,437,557,525,986,750,889,485,283,404,318
"G26046000","2018","MI",,,"Michigan","26",,,"Lansing city","46000",,,,,,,,,,,,,,,,"16000US2646000","Lansing city, Michigan",48631,5088,4058,2596,2981,2868,3400,2925,2452,1839,3571,6133,5175,2848,1049,1125,523,"Lansing city, Michigan",1942,1178,1104,924,859,893,748,778,732,595,874,1122,907,729,472,550,276
"G26049000","2018","MI",,,"Michigan","26",,,"Livonia city","49000",,,,,,,,,,,,,,,,"16000US2649000","Livonia city, Michigan",36806,844,858,1074,1185,1359,1349,1714,1489,1108,2987,3728,5770,4337,2375,4006,2623,"Livonia city, Michigan",1349,264,407,386,518,433,433,523,463,355,710,757,818,693,606,685,629
"G26069035","2018","MI",,,"Michigan","26",,,"Rochester Hills city","69035",,,,,,,,,,,,,,,,"16000US2669035","Rochester Hills city, Michigan",28325,636,270,1008,796,669,903,1149,502,508,1408,2172,4415,2809,3029,3685,4366,"Rochester Hills city, Michigan",1365,470,223,483,413,276,411,517,316,300,444,701,890,622,644,649,839
"G26074900","2018","MI",,,"Michigan","26",,,"Southfield city","74900",,,,,,,,,,,,,,,,"16000US2674900","Southfield city, Michigan",31489,2408,1875,922,1551,1197,979,1600,1912,1320,3049,4438,3684,2635,1606,1354,959,"Southfield city, Michigan",1691,785,629,469,579,498,452,576,828,561,760,974,892,843,545,475,359
"G26076460","2018","MI",,,"Michigan","26",,,"Sterling Heights city","76460",,,,,,,,,,,,,,,,"16000US2676460","Sterling Heights city, Michigan",49032,1367,1897,1459,2216,2243,3008,3631,2174,1558,4670,5149,6834,5279,2726,2999,1822,"Sterling Heights city, Michigan",1895,429,598,496,657,858,892,980,764,668,1039,1246,1104,1127,835,756,627
"G26080700","2018","MI",,,"Michigan","26",,,"Troy city","80700",,,,,,,,,,,,,,,,"16000US2680700","Troy city, Michigan",30729,1556,572,201,628,1048,812,684,612,580,1825,2659,4611,3395,2938,3506,5102,"Troy city, Michigan",1247,671,297,135,277,671,304,353,368,314,525,662,773,852,686,645,832
"G26084000","2018","MI",,,"Michigan","26",,,"Warren city","84000",,,,,,,,,,,,,,,,"16000US2684000","Warren city, Michigan",55156,3475,2782,3682,2950,3229,2515,2976,2827,2605,3977,6965,6945,4310,2703,2186,1029,"Warren city, Michigan",2088,947,781,1030,822,945,743,850,748,774,1090,1258,1125,853,834,640,331
"G26086000","2018","MI",,,"Michigan","26",,,"Westland city","86000",,,,,,,,,,,,,,,,"16000US2686000","Westland city, Michigan",35991,2262,2443,1879,2303,2050,1437,2748,2070,1300,2985,4275,4403,2152,1510,1539,635,"Westland city, Michigan",1928,693,877,661,750,681,559,787,759,449,730,748,860,635,700,558,297
"G26088940","2018","MI",,,"Michigan","26",,,"Wyoming city","88940",,,,,,,,,,,,,,,,"16000US2688940","Wyoming city, Michigan",27438,1107,979,1030,1556,1118,1913,1387,1660,2463,2765,2594,4541,2141,632,667,885,"Wyoming city, Michigan",1541,473,529,435,533,479,880,519,676,911,979,749,1005,655,394,464,621
"G27006382","2018","MN",,,"Minnesota","27",,,"Blaine city","06382",,,,,,,,,,,,,,,,"16000US2706382","Blaine city, Minnesota",22718,518,803,575,313,447,506,864,749,930,1491,2185,4058,3610,1754,2399,1516,"Blaine city, Minnesota",1440,280,402,236,185,270,312,404,530,593,562,827,872,846,641,633,457
"G27006616","2018","MN",,,"Minnesota","27",,,"Bloomington city","06616",,,,,,,,,,,,,,,,"16000US2706616","Bloomington city, Minnesota",36011,1377,898,1173,1694,1265,1680,1843,1647,1352,2679,3763,4454,4177,2592,2373,3044,"Bloomington city, Minnesota",2012,548,366,504,557,434,484,624,801,587,719,825,891,770,617,612,621
"G27007966","2018","MN",,,"Minnesota","27",,,"Brooklyn Park city","07966",,,,,,,,,,,,,,,,"16000US2707966","Brooklyn Park city, Minnesota",27830,1116,1304,493,887,815,2071,657,1069,1192,2350,2745,4505,2403,1286,3356,1581,"Brooklyn Park city, Minnesota",1678,552,825,429,532,441,688,420,470,624,978,735,943,661,536,773,499
"G27017000","2018","MN",,,"Minnesota","27",,,"Duluth city","17000",,,,,,,,,,,,,,,,"16000US2717000","Duluth city, Minnesota",36198,1959,2333,2097,2303,2046,1659,2045,2729,1202,2617,3564,3997,3196,1421,1635,1395,"Duluth city, Minnesota",1453,665,640,616,729,556,452,495,661,450,485,613,640,669,411,562,381
"G27017288","2018","MN",,,"Minnesota","27",,,"Eagan city","17288",,,,,,,,,,,,,,,,"16000US2717288","Eagan city, Minnesota",25376,425,416,334,591,635,649,1489,481,808,1607,3339,3335,3361,2411,2337,3158,"Eagan city, Minnesota",1143,192,245,178,294,380,365,681,215,330,415,824,742,669,727,627,641
"G27035180","2018","MN",,,"Minnesota","27",,,"Lakeville city","35180",,,,,,,,,,,,,,,,"16000US2735180","Lakeville city, Minnesota",22156,182,528,369,166,527,309,563,327,442,954,1692,3879,2480,2500,2933,4305,"Lakeville city, Minnesota",1110,179,506,228,168,434,416,320,253,429,429,634,1016,777,722,753,967
"G27040166","2018","MN",,,"Minnesota","27",,,"Maple Grove city","40166",,,,,,,,,,,,,,,,"16000US2740166","Maple Grove city, Minnesota",29047,731,97,639,718,963,761,528,523,810,2049,3015,2770,4365,2883,3967,4228,"Maple Grove city, Minnesota",1826,417,113,480,554,646,475,348,367,492,792,883,1200,1074,809,1099,1163
"G27043000","2018","MN",,,"Minnesota","27",,,"Minneapolis city","43000",,,,,,,,,,,,,,,,"16000US2743000","Minneapolis city, Minnesota",175233,15036,7409,7138,6564,7702,8000,6695,5381,6338,13276,17154,19485,16014,11536,12988,14517,"Minneapolis city, Minnesota",3758,1848,1244,1284,1265,1278,1429,1244,947,1148,1678,1914,1823,1834,1325,1356,1798
"G27051730","2018","MN",,,"Minnesota","27",,,"Plymouth city","51730",,,,,,,,,,,,,,,,"16000US2751730","Plymouth city, Minnesota",31874,480,407,840,697,798,1187,1094,786,1380,939,2101,4283,3127,2179,4247,7329,"Plymouth city, Minnesota",1476,305,345,557,391,570,667,527,501,626,340,619,937,1075,583,884,1098
