GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AQDCE001,AQDCE002,AQDCE003,AQDCE004,AQDCE005,AQDCE006,AQDCE007,AQDCE008,AQDCE009,AQDCE010,AQDCE011,AQDCE012,AQDCE013,AQDCE014,AQDCE015,AQDCE016,AQDCE017,AQDCE018,AQDCE019,AQDCE020,AQDCE021,AQDCE022,AQDCE023,AQDCE024,AQDCE025,AQDCE026,AQDCE027,NAME_M,AQDCM001,AQDCM002,AQDCM003,AQDCM004,AQDCM005,AQDCM006,AQDCM007,AQDCM008,AQDCM009,AQDCM010,AQDCM011,AQDCM012,AQDCM013,AQDCM014,AQDCM015,AQDCM016,AQDCM017,AQDCM018,AQDCM019,AQDCM020,AQDCM021,AQDCM022,AQDCM023,AQDCM024,AQDCM025,AQDCM026,AQDCM027
"G22050115","2022","LA",,,"Louisiana","22",,,"Metairie CDP","50115",,,,,,,,,,,,,,,,"1600000US2250115","2250115","Metairie CDP, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Metairie CDP, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G22055000","2022","LA",,,"Louisiana","22",,,"New Orleans city","55000",,,,,,,,,,,,,,,,"1600000US2255000","2255000","New Orleans city, Louisiana",67819,64203,1432,619,2448,2045,781,685,800,373,426,1605,658,1597,2702,2590,2979,7050,6883,10632,8306,6889,1886,384,271,162,3616,"New Orleans city, Louisiana",3379,3503,641,474,888,826,459,335,480,331,412,674,401,610,1345,871,910,1332,1657,1864,1378,1172,701,221,179,116,1032
"G22070000","2022","LA",,,"Louisiana","22",,,"Shreveport city","70000",,,,,,,,,,,,,,,,"1600000US2270000","2270000","Shreveport city, Louisiana",36882,35334,311,544,293,740,753,986,846,869,1809,2139,1307,1923,3867,3818,1701,4660,2273,2400,855,2621,216,249,0,154,1548,"Shreveport city, Louisiana",2651,2515,292,351,361,469,545,563,511,608,899,1037,576,889,1359,1099,813,1474,1011,968,606,1274,170,276,220,188,514
"G23060545","2022","ME",,,"Maine","23",,,"Portland city","60545",,,,,,,,,,,,,,,,"1600000US2360545","2360545","Portland city, Maine",20485,19788,162,35,60,988,576,0,39,109,141,222,0,180,0,583,478,1242,1087,3061,4339,4231,1466,536,70,183,697,"Portland city, Maine",1993,1995,204,56,110,486,532,179,67,183,170,204,179,235,179,545,402,707,673,1040,1114,954,693,353,119,242,558
"G24004000","2022","MD",,,"Maryland","24",,,"Baltimore city","04000",,,,,,,,,,,,,,,,"1600000US2404000","2404000","Baltimore city, Maryland",133490,129083,1753,2379,1935,6654,1758,2371,1854,2330,1516,1728,1818,1526,1766,3873,3055,10355,12824,29249,17120,15106,5404,1731,600,378,4407,"Baltimore city, Maryland",5060,5165,839,971,702,1860,664,1131,731,929,638,791,867,668,954,1103,976,2073,2603,3582,2569,2271,1480,653,493,334,1328
"G24007125","2022","MD",,,"Maryland","24",,,"Bethesda CDP","07125",,,,,,,,,,,,,,,,"1600000US2407125","2407125","Bethesda CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethesda CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24019125","2022","MD",,,"Maryland","24",,,"Columbia CDP","19125",,,,,,,,,,,,,,,,"1600000US2419125","2419125","Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24023975","2022","MD",,,"Maryland","24",,,"Dundalk CDP","23975",,,,,,,,,,,,,,,,"1600000US2423975","2423975","Dundalk CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dundalk CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24026000","2022","MD",,,"Maryland","24",,,"Ellicott City CDP","26000",,,,,,,,,,,,,,,,"1600000US2426000","2426000","Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24030325","2022","MD",,,"Maryland","24",,,"Frederick city","30325",,,,,,,,,,,,,,,,"1600000US2430325","2430325","Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24031175","2022","MD",,,"Maryland","24",,,"Gaithersburg city","31175",,,,,,,,,,,,,,,,"1600000US2431175","2431175","Gaithersburg city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gaithersburg city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24032025","2022","MD",,,"Maryland","24",,,"Germantown CDP","32025",,,,,,,,,,,,,,,,"1600000US2432025","2432025","Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24032650","2022","MD",,,"Maryland","24",,,"Glen Burnie CDP","32650",,,,,,,,,,,,,,,,"1600000US2432650","2432650","Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24067675","2022","MD",,,"Maryland","24",,,"Rockville city","67675",,,,,,,,,,,,,,,,"1600000US2467675","2467675","Rockville city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockville city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24072450","2022","MD",,,"Maryland","24",,,"Silver Spring CDP","72450",,,,,,,,,,,,,,,,"1600000US2472450","2472450","Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24081175","2022","MD",,,"Maryland","24",,,"Waldorf CDP","81175",,,,,,,,,,,,,,,,"1600000US2481175","2481175","Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25007000","2022","MA",,,"Massachusetts","25",,,"Boston city","07000",,,,,,,,,,,,,,,,"1600000US2507000","2507000","Boston city, Massachusetts",185035,180854,1892,1160,2867,6111,5424,3052,2697,2471,1279,3593,1378,2067,1148,1494,1440,2421,3950,13405,12266,32330,31531,18493,11963,16422,4181,"Boston city, Massachusetts",5564,5634,778,588,1201,1491,1314,985,882,928,575,1434,688,985,968,774,894,854,1548,2159,2470,3409,3233,2220,1488,2237,1366
"G25009000","2022","MA",,,"Massachusetts","25",,,"Brockton city","09000",,,,,,,,,,,,,,,,"1600000US2509000","2509000","Brockton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brockton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25011000","2022","MA",,,"Massachusetts","25",,,"Cambridge city","11000",,,,,,,,,,,,,,,,"1600000US2511000","2511000","Cambridge city, Massachusetts",33751,33052,192,181,168,131,902,625,629,35,207,30,173,377,174,0,323,203,418,702,1190,5251,6991,6003,3582,4565,699,"Cambridge city, Massachusetts",2024,2066,154,219,161,127,667,452,370,60,321,49,174,585,108,222,417,157,331,388,590,1380,1405,1230,850,995,443
"G25023000","2022","MA",,,"Massachusetts","25",,,"Fall River city","23000",,,,,,,,,,,,,,,,"1600000US2523000","2523000","Fall River city, Massachusetts",26052,25358,209,424,366,703,2090,292,661,413,317,633,991,793,891,2000,1368,3497,2277,3385,1567,1971,510,0,0,0,694,"Fall River city, Massachusetts",2604,2480,202,313,421,474,911,200,442,353,268,525,756,476,579,974,641,1167,1015,1145,666,728,549,222,222,222,529
"G25024960","2022","MA",,,"Massachusetts","25",,,"Framingham city","24960",,,,,,,,,,,,,,,,"1600000US2524960","2524960","Framingham city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Framingham city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25029405","2022","MA",,,"Massachusetts","25",,,"Haverhill city","29405",,,,,,,,,,,,,,,,"1600000US2529405","2529405","Haverhill city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverhill city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25034550","2022","MA",,,"Massachusetts","25",,,"Lawrence city","34550",,,,,,,,,,,,,,,,"1600000US2534550","2534550","Lawrence city, Massachusetts",21224,21039,0,197,182,543,319,183,376,128,418,172,277,186,60,160,257,567,795,4451,4553,5839,1376,0,0,0,185,"Lawrence city, Massachusetts",2084,2100,222,191,171,415,286,157,330,180,294,213,380,214,101,193,329,382,637,1238,1251,1355,896,222,222,222,220
"G25037000","2022","MA",,,"Massachusetts","25",,,"Lowell city","37000",,,,,,,,,,,,,,,,"1600000US2537000","2537000","Lowell city, Massachusetts",22687,22242,0,196,155,374,751,294,566,403,145,372,49,595,155,418,433,507,960,3714,4839,5112,1633,525,46,0,445,"Lowell city, Massachusetts",1992,1931,222,290,257,317,636,221,441,294,172,297,84,382,147,365,464,383,530,961,1347,1322,647,645,76,222,393
"G25037490","2022","MA",,,"Massachusetts","25",,,"Lynn city","37490",,,,,,,,,,,,,,,,"1600000US2537490","2537490","Lynn city, Massachusetts",18409,18142,92,253,422,987,938,206,280,320,0,49,271,188,241,151,539,382,340,3142,1767,4357,2237,764,216,0,267,"Lynn city, Massachusetts",2176,2183,158,288,347,522,456,283,280,255,222,81,386,301,275,179,397,371,330,1103,722,1373,990,508,284,222,317
"G25037875","2022","MA",,,"Massachusetts","25",,,"Malden city","37875",,,,,,,,,,,,,,,,"1600000US2537875","2537875","Malden city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Malden city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25039835","2022","MA",,,"Massachusetts","25",,,"Medford city","39835",,,,,,,,,,,,,,,,"1600000US2539835","2539835","Medford city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medford city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25045000","2022","MA",,,"Massachusetts","25",,,"New Bedford city","45000",,,,,,,,,,,,,,,,"1600000US2545000","2545000","New Bedford city, Massachusetts",27155,25822,0,709,75,316,625,789,120,834,761,785,192,1199,1166,1590,1787,3369,3103,4476,1161,2572,134,0,0,59,1333,"New Bedford city, Massachusetts",2153,2120,222,619,127,365,351,491,146,440,501,478,200,613,656,843,655,1087,966,1521,556,1059,215,222,222,103,735
"G25045560","2022","MA",,,"Massachusetts","25",,,"Newton city","45560",,,,,,,,,,,,,,,,"1600000US2545560","2545560","Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25055745","2022","MA",,,"Massachusetts","25",,,"Quincy city","55745",,,,,,,,,,,,,,,,"1600000US2555745","2555745","Quincy city, Massachusetts",24291,24097,42,166,355,718,357,427,69,258,656,251,87,571,0,55,0,370,512,1198,2794,6095,5196,2694,460,766,194,"Quincy city, Massachusetts",2358,2345,72,223,403,711,257,306,116,264,712,216,153,452,222,90,222,235,376,787,1066,1261,1672,1023,348,570,246
"G25062535","2022","MA",,,"Massachusetts","25",,,"Somerville city","62535",,,,,,,,,,,,,,,,"1600000US2562535","2562535","Somerville city, Massachusetts",24807,24482,181,167,189,390,325,140,0,307,119,0,103,99,0,47,0,377,606,1056,1142,6344,5233,3417,1826,2414,325,"Somerville city, Massachusetts",1818,1806,238,271,194,271,258,230,222,257,141,222,121,118,222,77,222,252,367,542,618,1522,997,805,584,856,270
"G25067000","2022","MA",,,"Massachusetts","25",,,"Springfield city","67000",,,,,,,,,,,,,,,,"1600000US2567000","2567000","Springfield city, Massachusetts",32096,30974,193,748,604,1368,1829,532,626,1229,953,555,199,859,688,1479,1332,4634,2294,5450,2698,2043,473,69,0,119,1122,"Springfield city, Massachusetts",2795,2743,296,688,446,744,634,331,488,714,642,496,216,496,564,822,849,1589,826,1506,1168,1125,367,139,222,112,625
"G25082000","2022","MA",,,"Massachusetts","25",,,"Worcester city","82000",,,,,,,,,,,,,,,,"1600000US2582000","2582000","Worcester city, Massachusetts",49423,48130,160,195,0,1253,2529,1408,1009,762,286,957,333,354,595,167,668,2777,3900,11499,7735,8033,2250,851,284,125,1293,"Worcester city, Massachusetts",2743,2804,200,251,222,542,889,656,564,476,255,757,307,367,515,159,430,1059,1210,1789,1453,1618,750,546,352,120,559
"G26003000","2022","MI",,,"Michigan","26",,,"Ann Arbor city","03000",,,,,,,,,,,,,,,,"1600000US2603000","2603000","Ann Arbor city, Michigan",28205,27797,0,118,382,84,0,0,426,170,76,265,588,983,841,289,193,194,1116,5517,5083,7262,1909,940,984,377,408,"Ann Arbor city, Michigan",2087,2118,184,189,522,97,184,184,497,226,90,194,379,526,624,209,169,185,567,1401,1314,1514,828,528,592,340,328
"G26021000","2022","MI",,,"Michigan","26",,,"Dearborn city","21000",,,,,,,,,,,,,,,,"1600000US2621000","2621000","Dearborn city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dearborn city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26022000","2022","MI",,,"Michigan","26",,,"Detroit city","22000",,,,,,,,,,,,,,,,"1600000US2622000","2622000","Detroit city, Michigan",122223,114594,1817,1106,2765,4116,2547,2123,1115,3767,2381,7142,5941,7333,8751,9155,8637,15146,8787,12150,4908,3474,1089,207,137,0,7629,"Detroit city, Michigan",5071,5260,775,615,964,1122,1009,1023,670,947,727,1680,1775,1854,2035,1554,1927,2585,1766,2259,1674,977,424,207,126,184,1587
"G26027440","2022","MI",,,"Michigan","26",,,"Farmington Hills city","27440",,,,,,,,,,,,,,,,"1600000US2627440","2627440","Farmington Hills city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Farmington Hills city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26029000","2022","MI",,,"Michigan","26",,,"Flint city","29000",,,,,,,,,,,,,,,,"1600000US2629000","2629000","Flint city, Michigan",16105,14155,797,21,509,674,317,355,817,321,1205,1287,1694,1354,1750,1053,532,825,190,425,29,0,0,0,0,0,1950,"Flint city, Michigan",1544,1690,510,35,420,449,379,296,565,217,543,606,1066,670,724,477,431,618,222,354,53,184,184,184,184,184,935
"G26034000","2022","MI",,,"Michigan","26",,,"Grand Rapids city","34000",,,,,,,,,,,,,,,,"1600000US2634000","2634000","Grand Rapids city, Michigan",39738,38845,355,205,212,469,423,545,320,0,0,260,184,705,1627,1487,1105,3996,3109,9469,7347,6032,615,55,0,325,893,"Grand Rapids city, Michigan",2875,2848,367,310,266,283,438,423,275,184,184,320,161,398,808,882,646,1055,1156,1895,1509,1412,514,88,184,363,436
"G26042160","2022","MI",,,"Michigan","26",,,"Kalamazoo city","42160",,,,,,,,,,,,,,,,"1600000US2642160","2642160","Kalamazoo city, Michigan",18560,18178,35,327,106,589,280,194,39,274,983,544,321,1460,1362,476,908,1048,1687,3704,839,2390,166,184,0,262,382,"Kalamazoo city, Michigan",1886,1920,60,401,135,506,224,253,71,290,1002,571,246,745,818,476,598,545,643,1318,457,1177,202,212,184,172,339
"G26046000","2022","MI",,,"Michigan","26",,,"Lansing city","46000",,,,,,,,,,,,,,,,"1600000US2646000","2646000","Lansing city, Michigan",23161,22211,172,0,181,390,142,790,527,174,240,1297,759,1217,1586,2870,1688,3439,3014,2972,570,183,0,0,0,0,950,"Lansing city, Michigan",1847,2007,187,184,229,314,190,557,471,267,189,700,465,713,830,1212,980,1392,1308,1101,386,198,184,184,184,184,632
"G26049000","2022","MI",,,"Michigan","26",,,"Livonia city","49000",,,,,,,,,,,,,,,,"1600000US2649000","2649000","Livonia city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Livonia city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26059440","2022","MI",,,"Michigan","26",,,"Novi city","59440",,,,,,,,,,,,,,,,"1600000US2659440","2659440","Novi city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Novi city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26069035","2022","MI",,,"Michigan","26",,,"Rochester Hills city","69035",,,,,,,,,,,,,,,,"1600000US2669035","2669035","Rochester Hills city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rochester Hills city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26074900","2022","MI",,,"Michigan","26",,,"Southfield city","74900",,,,,,,,,,,,,,,,"1600000US2674900","2674900","Southfield city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southfield city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26076460","2022","MI",,,"Michigan","26",,,"Sterling Heights city","76460",,,,,,,,,,,,,,,,"1600000US2676460","2676460","Sterling Heights city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sterling Heights city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26080700","2022","MI",,,"Michigan","26",,,"Troy city","80700",,,,,,,,,,,,,,,,"1600000US2680700","2680700","Troy city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Troy city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26084000","2022","MI",,,"Michigan","26",,,"Warren city","84000",,,,,,,,,,,,,,,,"1600000US2684000","2684000","Warren city, Michigan",18833,17852,34,108,115,250,43,74,0,243,141,155,420,178,852,1027,1153,3027,4567,2936,2220,309,0,0,0,0,981,"Warren city, Michigan",2279,2246,59,95,150,242,74,125,184,225,175,189,309,176,606,629,695,1266,1318,1049,1012,277,184,184,184,184,604
"G26086000","2022","MI",,,"Michigan","26",,,"Westland city","86000",,,,,,,,,,,,,,,,"1600000US2686000","2686000","Westland city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westland city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26088940","2022","MI",,,"Michigan","26",,,"Wyoming city","88940",,,,,,,,,,,,,,,,"1600000US2688940","2688940","Wyoming city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wyoming city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27006382","2022","MN",,,"Minnesota","27",,,"Blaine city","06382",,,,,,,,,,,,,,,,"1600000US2706382","2706382","Blaine city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blaine city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27006616","2022","MN",,,"Minnesota","27",,,"Bloomington city","06616",,,,,,,,,,,,,,,,"1600000US2706616","2706616","Bloomington city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bloomington city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27007966","2022","MN",,,"Minnesota","27",,,"Brooklyn Park city","07966",,,,,,,,,,,,,,,,"1600000US2707966","2707966","Brooklyn Park city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brooklyn Park city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27017000","2022","MN",,,"Minnesota","27",,,"Duluth city","17000",,,,,,,,,,,,,,,,"1600000US2717000","2717000","Duluth city, Minnesota",15954,15324,211,282,50,542,31,152,51,366,0,489,507,1071,319,759,908,1679,1107,2086,1715,2059,459,88,70,323,630,"Duluth city, Minnesota",1751,1787,199,286,86,325,52,167,90,400,157,350,350,1069,262,432,517,765,451,709,602,714,285,92,116,377,297
"G27017288","2022","MN",,,"Minnesota","27",,,"Eagan city","17288",,,,,,,,,,,,,,,,"1600000US2717288","2717288","Eagan city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eagan city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27035180","2022","MN",,,"Minnesota","27",,,"Lakeville city","35180",,,,,,,,,,,,,,,,"1600000US2735180","2735180","Lakeville city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lakeville city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27040166","2022","MN",,,"Minnesota","27",,,"Maple Grove city","40166",,,,,,,,,,,,,,,,"1600000US2740166","2740166","Maple Grove city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maple Grove city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27043000","2022","MN",,,"Minnesota","27",,,"Minneapolis city","43000",,,,,,,,,,,,,,,,"1600000US2743000","2743000","Minneapolis city, Minnesota",101502,100352,155,80,700,1318,1281,2017,1040,634,1149,1104,1361,1853,972,1193,2826,8192,12941,17843,13638,17878,7503,2398,1205,1071,1150,"Minneapolis city, Minnesota",4592,4438,153,93,650,859,530,1143,645,563,974,804,1154,1082,477,645,975,1737,2507,2246,2168,2361,1475,997,831,538,498
"G27051730","2022","MN",,,"Minnesota","27",,,"Plymouth city","51730",,,,,,,,,,,,,,,,"1600000US2751730","2751730","Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27054880","2022","MN",,,"Minnesota","27",,,"Rochester city","54880",,,,,,,,,,,,,,,,"1600000US2754880","2754880","Rochester city, Minnesota",18943,18420,102,0,802,542,517,0,0,298,67,437,559,92,321,437,1136,1625,1212,2759,2684,3460,238,463,104,565,523,"Rochester city, Minnesota",1759,1729,176,157,742,446,571,157,157,275,126,543,469,111,234,357,690,729,565,892,941,1059,237,347,128,481,461
"G27056896","2022","MN",,,"Minnesota","27",,,"St. Cloud city","56896",,,,,,,,,,,,,,,,"1600000US2756896","2756896","St. Cloud city, Minnesota",12969,12654,0,0,0,200,155,69,67,163,303,284,77,1111,872,1267,548,956,899,2501,2130,588,464,0,0,0,315,"St. Cloud city, Minnesota",1544,1586,157,157,157,242,166,89,109,141,433,223,128,785,502,920,466,491,503,1064,956,481,417,157,157,157,231
"G27058000","2022","MN",,,"Minnesota","27",,,"St. Paul city","58000",,,,,,,,,,,,,,,,"1600000US2758000","2758000","St. Paul city, Minnesota",58556,57717,874,0,691,1572,1120,461,764,772,114,540,423,588,443,523,1911,5632,6213,12917,10593,8415,1882,409,371,489,839,"St. Paul city, Minnesota",3179,3147,506,157,560,628,520,270,583,572,145,353,398,389,342,370,961,1392,1398,2198,1889,1449,831,332,288,498,413
"G27071428","2022","MN",,,"Minnesota","27",,,"Woodbury city","71428",,,,,,,,,,,,,,,,"1600000US2771428","2771428","Woodbury city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woodbury city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G28029700","2022","MS",,,"Mississippi","28",,,"Gulfport city","29700",,,,,,,,,,,,,,,,"1600000US2829700","2829700","Gulfport city, Mississippi",12103,11542,237,315,374,112,227,270,0,310,58,829,641,720,501,463,847,1656,1442,1486,765,289,0,0,0,0,561,"Gulfport city, Mississippi",1589,1654,255,292,231,136,207,276,217,362,97,750,490,605,392,309,720,881,640,582,607,228,217,217,217,217,329
"G28036000","2022","MS",,,"Mississippi","28",,,"Jackson city","36000",,,,,,,,,,,,,,,,"1600000US2836000","2836000","Jackson city, Mississippi",30524,27603,218,342,763,320,803,228,832,890,909,566,1818,2253,1246,1601,4093,2681,4123,2646,887,344,40,0,0,0,2921,"Jackson city, Mississippi",2986,2786,183,457,483,332,533,230,520,761,560,355,794,904,597,845,1398,1262,1338,1089,595,282,69,217,217,217,1167
"G29015670","2022","MO",,,"Missouri","29",,,"Columbia city","15670",,,,,,,,,,,,,,,,"1600000US2915670","2915670","Columbia city, Missouri",27133,26565,0,346,60,587,51,584,689,426,638,1725,1067,921,2282,1730,1784,4346,2547,2885,1054,2077,672,0,94,0,568,"Columbia city, Missouri",1926,1822,195,327,114,507,87,428,697,444,619,745,417,495,770,822,863,1183,807,1028,540,922,524,195,159,195,460
"G29035000","2022","MO",,,"Missouri","29",,,"Independence city","35000",,,,,,,,,,,,,,,,"1600000US2935000","2935000","Independence city, Missouri",20054,19449,234,0,312,167,454,357,393,503,0,1960,810,354,1790,1428,1452,2664,1526,3309,1290,326,120,0,0,0,605,"Independence city, Missouri",2025,1966,218,195,227,176,315,176,342,400,195,929,318,299,942,720,653,988,727,1137,618,289,109,195,195,195,454
"G29038000","2022","MO",,,"Missouri","29",,,"Kansas City city","38000",,,,,,,,,,,,,,,,"1600000US2938000","2938000","Kansas City city, Missouri",104738,101044,931,633,1664,1426,814,1531,535,1454,1001,3226,2722,3735,4166,5415,5749,10485,8555,19527,13937,10356,2193,200,271,518,3694,"Kansas City city, Missouri",4438,4279,495,443,841,647,536,817,370,838,459,1045,971,1182,1424,1460,1352,1847,1713,2445,2688,1970,928,163,291,379,1187
"G29041348","2022","MO",,,"Missouri","29",,,"Lee's Summit city","41348",,,,,,,,,,,,,,,,"1600000US2941348","2941348","Lee's Summit city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee's Summit city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29054074","2022","MO",,,"Missouri","29",,,"O'Fallon city","54074",,,,,,,,,,,,,,,,"1600000US2954074","2954074","O'Fallon city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"O'Fallon city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29064082","2022","MO",,,"Missouri","29",,,"St. Charles city","64082",,,,,,,,,,,,,,,,"1600000US2964082","2964082","St. Charles city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Charles city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29064550","2022","MO",,,"Missouri","29",,,"St. Joseph city","64550",,,,,,,,,,,,,,,,"1600000US2964550","2964550","St. Joseph city, Missouri",11384,10448,0,274,658,281,28,129,210,280,1190,1250,553,837,836,1365,320,743,782,690,0,22,0,0,0,0,936,"St. Joseph city, Missouri",1330,1249,195,313,577,242,45,128,168,232,533,571,302,407,399,721,309,482,515,374,195,41,195,195,195,195,412
"G29065000","2022","MO",,,"Missouri","29",,,"St. Louis city","65000",,,,,,,,,,,,,,,,"1600000US2965000","2965000","St. Louis city, Missouri",79035,76502,712,1039,541,868,991,1059,1865,3165,2412,4319,5315,7276,4425,4823,4191,8511,6681,6753,4844,4520,1062,962,0,168,2533,"St. Louis city, Missouri",4081,3852,544,681,318,493,653,739,826,1466,896,1532,1499,1752,1513,1482,1149,1912,2013,1635,1275,1262,566,663,195,216,913
"G29070000","2022","MO",,,"Missouri","29",,,"Springfield city","70000",,,,,,,,,,,,,,,,"1600000US2970000","2970000","Springfield city, Missouri",45814,44292,354,443,1447,416,648,326,151,1684,2082,2017,3944,2894,3574,2984,3215,6295,2833,5708,1398,1379,148,74,0,278,1522,"Springfield city, Missouri",2889,2948,401,505,670,247,382,272,195,1035,840,719,1333,1057,1336,964,829,1533,767,1330,576,722,188,123,195,430,552
"G30006550","2022","MT",,,"Montana","30",,,"Billings city","06550",,,,,,,,,,,,,,,,"1600000US3006550","3006550","Billings city, Montana",17699,17433,65,0,204,136,128,474,430,0,0,222,783,390,1035,971,369,2134,1689,3821,2374,1541,238,103,82,244,266,"Billings city, Montana",2192,2201,112,182,243,216,207,337,423,182,182,227,718,287,604,494,267,964,653,1161,1039,942,225,167,138,270,239
