GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,APJME001,APJME002,APJME003,APJME004,APJME005,APJME006,APJME007,APJME008,APJME009,APJME010,APJME011,APJME012,APJME013,APJME014,APJME015,APJME016,APJME017,APJME018,APJME019,APJME020,APJME021,APJME022,APJME023,APJME024,APJME025,APJME026,APJME027,APJME028,APJME029,APJME030,APJME031,APJME032,APJME033,APJME034,APJME035,APJME036,APJME037,APJME038,APJME039,APJME040,APJME041,APJME042,APJME043,APJME044,APJME045,APJME046,APJME047,APJME048,APJME049,NAME_M,APJMM001,APJMM002,APJMM003,APJMM004,APJMM005,APJMM006,APJMM007,APJMM008,APJMM009,APJMM010,APJMM011,APJMM012,APJMM013,APJMM014,APJMM015,APJMM016,APJMM017,APJMM018,APJMM019,APJMM020,APJMM021,APJMM022,APJMM023,APJMM024,APJMM025,APJMM026,APJMM027,APJMM028,APJMM029,APJMM030,APJMM031,APJMM032,APJMM033,APJMM034,APJMM035,APJMM036,APJMM037,APJMM038,APJMM039,APJMM040,APJMM041,APJMM042,APJMM043,APJMM044,APJMM045,APJMM046,APJMM047,APJMM048,APJMM049
"G3600110","2022","NY",,,"New York","36","Cayuga County","011",,,,,,,,,,,,,,,,,,"0500000US36011","36011","Cayuga County, New York",74998,38167,1768,1566,2507,1329,736,456,539,1476,2384,2432,2427,2578,1863,2650,2334,1412,1915,1090,1432,2186,1636,943,508,36831,1597,2461,1728,1121,816,105,378,1386,2035,2048,2515,1787,1759,2362,2939,1270,1730,1660,1328,1858,1524,775,1649,"Cayuga County, New York",,760,198,320,438,112,136,275,277,797,227,308,490,597,72,281,438,445,510,340,458,448,489,339,299,760,115,514,392,59,227,104,194,222,195,109,429,430,19,137,567,380,408,517,408,419,526,478,681
"G3600130","2022","NY",,,"New York","36","Chautauqua County","013",,,,,,,,,,,,,,,,,,"0500000US36013","36013","Chautauqua County, New York",126027,62441,2974,3963,3472,2309,1535,1337,623,2014,4048,3581,3175,4490,3399,3849,4090,1444,3360,2577,2565,2710,2596,1258,1072,63586,3210,3582,3653,1876,1889,1022,1131,1652,3264,3409,3001,4475,3356,3628,4524,2155,2582,1940,3116,3334,2921,1967,1899,"Chautauqua County, New York",,683,318,553,757,338,173,523,325,600,315,314,789,767,380,325,717,449,792,599,557,503,517,404,408,683,365,593,596,198,295,386,561,589,285,310,655,785,406,216,850,754,632,451,603,632,720,499,628
"G3600150","2022","NY",,,"New York","36","Chemung County","015",,,,,,,,,,,,,,,,,,"0500000US36015","36015","Chemung County, New York",81426,40807,1786,3058,2493,1336,1255,357,692,1344,2116,3120,2412,2570,2227,2675,2296,985,2415,1303,996,2386,1422,911,652,40619,1726,2188,2242,1791,975,451,689,978,2238,2236,1805,3078,2537,2635,2332,1266,2034,1320,1459,2419,1862,1141,1217,"Chemung County, New York",,615,309,665,593,141,494,251,440,552,160,522,519,598,147,216,562,371,603,586,369,502,424,326,325,615,226,600,517,398,461,293,388,574,257,296,473,671,391,208,516,507,548,496,416,517,553,616,464
"G3600190","2022","NY",,,"New York","36","Clinton County","019",,,,,,,,,,,,,,,,,,"0500000US36019","36019","Clinton County, New York",78753,40222,1727,2078,1917,1157,1015,493,976,1998,2719,2669,2702,2461,2216,2723,2377,1082,2424,1021,1265,2483,1723,522,474,38531,1579,1529,2329,1200,1637,871,769,1671,1925,2033,2945,1669,1952,2296,2961,742,2201,968,2108,1545,1594,737,1270,"Clinton County, New York",,558,112,444,455,217,358,387,439,557,317,234,726,526,168,300,631,581,638,431,404,445,324,281,267,558,82,505,471,139,219,452,561,589,97,110,687,559,47,140,627,315,478,348,474,474,428,312,382
"G3600270","2022","NY",,,"New York","36","Dutchess County","027",,,,,,,,,,,,,,,,,,"0500000US36027","36027","Dutchess County, New York",297545,148488,6471,6481,9096,5537,4500,3225,1035,7310,8128,10491,9447,9251,8691,9937,9983,4173,8504,4834,4580,6436,4952,2692,2734,149057,6645,6890,7799,4854,4702,3082,2348,5861,7567,8719,8419,9553,8791,9924,11324,4154,6835,4582,5446,7091,5967,4321,4183,"Dutchess County, New York",,982,637,1174,1267,745,586,876,538,1220,554,951,1348,1183,641,559,1036,715,1155,979,1003,1037,723,627,769,982,626,1227,1259,639,340,746,1015,1113,526,152,1254,1249,494,525,964,833,973,839,832,806,1000,911,762
"G3600290","2022","NY",,,"New York","36","Erie County","029",,,,,,,,,,,,,,,,,,"0500000US36029","36029","Erie County, New York",950312,463775,25094,30264,24210,16807,12572,6421,7558,17594,31921,34210,33028,26278,24472,28697,30768,11979,20982,13511,16878,20434,14320,8644,7133,486537,23995,28474,23594,16078,11727,6641,6130,19008,31248,33876,31645,27883,24984,29573,32465,12125,23128,13469,18214,25563,17523,14651,14543,"Erie County, New York",,198,238,1960,1977,161,691,1860,1699,2024,145,213,2101,2132,111,190,2342,1793,1831,1750,1588,1712,1426,1230,1130,198,144,2143,2117,121,525,1199,1760,1844,238,260,2473,2460,598,603,2042,1257,1955,1510,1955,1895,1738,1514,1572
"G3600450","2022","NY",,,"New York","36","Jefferson County","045",,,,,,,,,,,,,,,,,,"0500000US36045","36045","Jefferson County, New York",116637,62092,4108,3784,3740,2098,1663,1945,892,4774,4879,5551,3742,4726,3009,2906,3160,1148,1824,1040,1917,1968,1940,723,555,54545,4243,4010,3393,1917,1031,2133,436,1513,3753,3401,3683,3670,2290,2741,3199,1319,2029,1030,1492,2998,1861,1109,1294,"Jefferson County, New York",,1136,226,765,901,307,265,729,718,1232,295,838,1148,807,713,367,595,415,533,307,407,375,292,256,237,1136,624,720,654,270,170,808,230,496,368,293,713,797,56,231,570,406,535,296,397,622,339,292,328
"G3600470","2022","NY",,,"New York","36","Kings County","047",,,,,,,,,,,,,,,,,,"0500000US36047","36047","Kings County, New York",2590516,1235007,84944,79698,81904,45808,25384,12232,15502,46733,100953,115908,98292,83048,71841,70859,68364,28038,37959,24389,33823,44201,29510,20037,15580,1355509,82026,74927,78892,44501,23998,11973,12794,53996,111466,119574,102713,86436,79459,79235,78663,32686,44572,28489,41273,60097,42791,31911,33037,"Kings County, New York",,594,249,4081,4088,117,147,1956,2455,2620,184,230,3860,3888,281,199,4444,3149,3071,2597,2687,2575,2606,2009,2023,594,400,3750,3771,285,109,1969,2130,2757,313,214,4244,4206,352,159,3261,2785,3318,2933,2963,3880,3766,3505,3367
"G3600530","2022","NY",,,"New York","36","Madison County","053",,,,,,,,,,,,,,,,,,"0500000US36053","36053","Madison County, New York",67097,33247,1498,1666,1986,1117,1383,884,227,1286,1762,1817,1867,1820,1980,2155,2467,1306,1547,806,1358,2010,1230,643,432,33850,1405,1548,1729,1243,1890,839,1129,856,1517,1681,1766,1775,1710,2246,2534,1080,1515,1165,1180,1936,1524,699,883,"Madison County, New York",,329,75,295,309,77,184,364,160,349,164,99,385,370,295,160,383,339,356,205,320,309,196,165,144,329,55,279,276,152,464,353,465,360,52,71,315,325,93,171,315,288,328,296,275,294,266,204,221
"G3600550","2022","NY",,,"New York","36","Monroe County","055",,,,,,,,,,,,,,,,,,"0500000US36055","36055","Monroe County, New York",752035,365293,19744,19601,23971,13528,12816,6014,5290,13582,24744,26734,23964,22351,19061,22325,23922,9638,15155,7829,13600,16848,10697,6423,7456,386742,18719,19709,22241,13755,11681,5455,4632,15180,24974,26869,28022,19913,20381,23738,26809,9985,15309,8636,14875,19615,15467,10212,10565,"Monroe County, New York",,472,82,1755,1766,445,855,1442,1596,1884,82,82,1804,1776,71,83,1891,1423,1813,1183,1466,1520,1128,1007,925,472,62,1972,1973,419,344,1372,1173,1592,76,76,1683,1686,91,89,1806,1451,1499,1408,1365,1442,1439,1306,1163
"G3600590","2022","NY",,,"New York","36","Nassau County","059",,,,,,,,,,,,,,,,,,"0500000US36059","36059","Nassau County, New York",1383726,681928,36372,40505,45683,27968,16561,7662,7600,28656,42379,40225,42732,43982,43141,46579,47082,18003,31178,16408,22157,31372,20420,13005,12258,701798,34643,36860,44403,26689,15528,7739,9601,24746,40138,39574,43915,42037,42965,47029,48813,20089,31593,16873,24871,35900,26319,18867,22606,"Nassau County, New York",,306,5,2486,2491,4,85,1504,1408,1870,173,81,2429,2441,148,194,2662,2109,2641,2170,1941,2188,1700,1637,1606,306,147,2515,2538,215,170,1532,1872,2150,152,236,2412,2400,182,84,2803,2253,2410,2103,1816,2195,2154,1922,1964
"G3600610","2022","NY",,,"New York","36","New York County","061",,,,,,,,,,,,,,,,,,"0500000US36061","36061","New York County, New York",1596273,763019,33790,25473,36043,17626,15941,7595,8104,32016,79256,79930,67786,49230,47220,50042,51016,18079,22599,13414,23102,32298,24510,14101,13848,833254,32655,28576,31141,18082,20616,11376,11408,41197,84079,78953,61962,51456,47071,48443,48647,17414,28066,18631,25300,43152,36432,25140,23457,"New York County, New York",,593,3,2691,2691,3,1583,1914,1776,2479,4,99,4758,4745,355,824,4117,2966,3413,1788,3066,2785,2413,2182,1747,593,4,3365,3365,397,1256,2173,2293,3143,1599,191,3789,3814,181,122,3848,2404,3261,2721,3153,3652,3442,3710,3009
"G3600630","2022","NY",,,"New York","36","Niagara County","063",,,,,,,,,,,,,,,,,,"0500000US36063","36063","Niagara County, New York",210880,104051,5677,5920,5715,3690,2404,1195,1265,4068,6391,6633,5783,7212,5547,7143,7052,3356,5145,3770,3591,5396,3422,2023,1653,106829,4942,6263,5397,3344,2532,1373,1059,3655,5601,6722,6457,6463,5560,6732,9261,3238,4938,2883,3600,6240,4657,3056,2856,"Niagara County, New York",,978,719,848,956,426,262,482,478,733,536,579,893,952,412,599,948,729,977,829,821,844,609,576,510,978,581,1170,1019,327,495,672,506,661,575,762,1224,941,361,433,919,829,976,714,750,965,786,663,644
"G3600650","2022","NY",,,"New York","36","Oneida County","065",,,,,,,,,,,,,,,,,,"0500000US36065","36065","Oneida County, New York",228846,114951,6981,6973,7092,4257,3257,1422,2183,4864,6899,7719,6093,7663,6064,7313,7786,2850,5006,2958,3019,6069,4055,2488,1940,113895,5472,5929,8030,3660,2837,593,1644,4670,6326,6773,7257,5770,6367,7425,8266,3121,4441,2841,4382,6136,5403,3393,3159,"Oneida County, New York",,844,746,1165,1071,406,391,583,683,991,553,678,1136,1149,707,527,984,808,1125,669,776,661,654,496,473,844,744,1019,945,386,369,306,795,661,568,772,1084,1082,851,632,1006,667,923,655,772,833,757,701,561
"G3600670","2022","NY",,,"New York","36","Onondaga County","067",,,,,,,,,,,,,,,,,,"0500000US36067","36067","Onondaga County, New York",468249,227667,12823,13846,14191,8905,7474,3251,3858,10622,13528,15177,14867,13680,11639,13662,15775,6791,8776,5468,7909,11174,6599,3778,3874,240582,12468,11620,15157,8103,9302,3184,2241,9574,14762,15527,15050,14246,12257,14563,14612,7661,10471,6313,8323,12830,8815,5955,7548,"Onondaga County, New York",,666,653,1414,1430,291,971,959,988,1422,851,321,1906,1896,910,320,1176,1115,1273,1091,1149,1050,835,788,710,666,638,1164,1133,275,999,946,835,1148,710,126,1252,1213,349,200,1558,1260,1436,885,920,1175,1090,998,1052
"G3600690","2022","NY",,,"New York","36","Ontario County","069",,,,,,,,,,,,,,,,,,"0500000US36069","36069","Ontario County, New York",112707,55450,2418,3232,3203,1911,1509,992,716,1761,3167,3442,3413,3434,3017,3708,3449,2202,2494,1476,1842,3622,2420,988,1034,57257,2595,3408,2571,1727,1813,487,893,2123,2951,3207,3410,3075,2908,3563,4002,1581,2931,1529,2148,4099,2670,1587,1979,"Ontario County, New York",,690,256,579,611,244,575,542,457,692,364,376,689,720,313,288,609,743,595,449,544,541,410,352,392,690,322,799,578,172,347,320,557,492,319,398,650,640,175,266,740,476,647,566,533,636,584,441,523
"G3600710","2022","NY",,,"New York","36","Orange County","071",,,,,,,,,,,,,,,,,,"0500000US36071","36071","Orange County, New York",405941,202731,13676,13223,15956,9631,6604,2796,3799,8318,12327,12622,12975,12990,12414,13036,12385,5992,7025,4854,5228,6667,5242,2788,2183,203210,13101,13704,14365,9220,6311,3673,3107,7439,11763,11000,14512,11437,12075,13120,13322,5684,6522,3509,5815,9059,6136,3429,4907,"Orange County, New York",,699,287,1519,1518,639,712,1112,1129,1153,224,257,1821,1765,489,91,1364,1180,1111,1031,975,1044,747,694,713,699,291,1632,1623,746,435,1240,777,1187,260,413,1518,1483,205,233,1370,1099,1141,838,1042,1015,881,938,943
"G3600750","2022","NY",,,"New York","36","Oswego County","075",,,,,,,,,,,,,,,,,,"0500000US36075","36075","Oswego County, New York",118287,60089,3051,2997,3765,2334,2493,1169,1348,2025,3748,3792,3213,3632,3059,3990,4939,1857,2292,1874,2154,2592,2227,862,676,58198,2886,3491,3048,2203,2352,946,688,2034,3154,3458,3517,3356,2991,4029,3804,1955,3001,1865,2137,2712,2136,1378,1057,"Oswego County, New York",,528,246,586,654,271,306,576,581,635,444,403,589,574,110,236,662,532,623,520,511,536,345,284,310,528,220,550,607,145,201,459,360,589,118,80,699,629,108,221,617,549,558,521,482,538,453,430,393
"G3600790","2022","NY",,,"New York","36","Putnam County","079",,,,,,,,,,,,,,,,,,"0500000US36079","36079","Putnam County, New York",98045,49427,2377,2215,3214,1758,1053,745,318,2179,2514,3432,2920,3536,3266,3412,3657,1665,2424,1392,1584,2650,1658,669,789,48618,1997,2862,2427,1878,1073,425,902,1303,2287,2627,2729,3201,2667,3733,3958,1872,2456,1358,1741,2632,1358,1560,1572,"Putnam County, New York",,636,333,560,547,427,522,472,213,733,359,618,744,735,510,404,741,556,648,435,516,519,437,325,367,636,231,804,740,308,412,377,558,494,340,442,776,734,335,620,702,594,658,375,439,538,459,440,484
"G3600810","2022","NY",,,"New York","36","Queens County","081",,,,,,,,,,,,,,,,,,"0500000US36081","36081","Queens County, New York",2278029,1114721,63121,59348,67254,37451,22615,11279,12639,39964,79371,90469,76667,79394,71110,76065,75139,30424,45600,27479,35919,45286,29570,20049,18508,1163308,59541,61071,59105,35265,20846,12264,12138,39989,80913,87188,76642,76329,72333,77740,81730,32507,44795,29612,38623,59263,38785,32758,33871,"Queens County, New York",,598,485,3553,3575,75,4,1943,2002,2936,673,690,4221,4225,262,166,3933,2820,3644,2640,3097,3135,2076,2117,2029,598,249,3417,3479,283,119,1865,1702,2017,476,180,3672,3743,180,225,3241,2816,2875,2403,2660,2953,2667,2771,2107
"G3600830","2022","NY",,,"New York","36","Rensselaer County","083",,,,,,,,,,,,,,,,,,"0500000US36083","36083","Rensselaer County, New York",159853,79905,4030,5222,3784,2818,3806,1449,1827,2873,5133,5565,4658,5137,4561,4850,4912,2673,3241,1741,2818,3857,2565,1218,1167,79948,3697,2911,5083,2560,1951,1283,429,2859,5303,6216,5044,5265,4476,4863,5910,2667,2829,1897,2857,4534,3509,1577,2228,"Rensselaer County, New York",,944,648,808,866,508,580,468,928,735,540,583,1025,941,472,247,818,673,724,528,756,709,551,346,469,944,666,930,995,568,211,550,308,700,517,688,1058,1100,548,345,760,770,624,524,642,680,706,478,579
"G3600850","2022","NY",,,"New York","36","Richmond County","085",,,,,,,,,,,,,,,,,,"0500000US36085","36085","Richmond County, New York",491133,241330,13774,14081,16488,10014,5107,3391,3145,9432,15813,16816,15059,15840,15136,16500,16733,7772,8830,5884,5255,12060,6408,4665,3127,249803,12146,14388,14527,9251,5278,2597,3992,8142,15506,16709,14934,16531,15581,17282,17485,6653,10851,5047,7763,14191,9830,6471,4648,"Richmond County, New York",,1152,1018,2127,2127,295,553,997,1134,1230,4,5,1984,1984,161,6,1883,1606,1596,1023,1021,1191,934,961,762,1152,1019,1609,1603,295,316,867,1108,1153,588,93,2119,2106,3,3,1665,1089,1403,967,1318,1498,1043,1122,917
"G3600870","2022","NY",,,"New York","36","Rockland County","087",,,,,,,,,,,,,,,,,,"0500000US36087","36087","Rockland County, New York",339022,169864,16168,15258,12399,8863,4691,3140,2639,6676,9520,9610,10232,9291,8930,9698,8700,3728,6891,2324,3971,7421,4744,2292,2678,169158,12454,12985,13287,7757,4877,2625,1941,5672,10078,9213,9810,9219,8872,9681,9148,5137,5936,3367,4786,7098,6070,3761,5384,"Rockland County, New York",,1099,1115,1341,1319,854,406,1004,971,1156,627,2,1379,1238,693,4,1340,1009,1305,535,823,974,793,708,694,1099,1116,1101,1088,497,897,864,880,1083,571,656,1235,1168,5,2,1181,1081,912,716,846,889,984,822,943
"G3600890","2022","NY",,,"New York","36","St. Lawrence County","089",,,,,,,,,,,,,,,,,,"0500000US36089","36089","St. Lawrence County, New York",107733,54914,2443,3535,2880,2028,3032,1390,1169,2707,3035,3132,3497,2506,2810,3647,3281,1007,3082,1463,1893,2584,1844,977,972,52819,2405,2453,3055,1944,2993,911,1051,2844,2548,2940,2862,2671,2700,3105,3173,1552,2674,1215,1928,3019,1665,1245,1866,"St. Lawrence County, New York",,575,71,604,677,71,289,624,450,758,271,169,534,519,102,393,680,402,683,478,474,461,547,379,451,575,91,415,450,128,352,506,384,585,178,229,657,653,107,87,575,403,509,394,715,740,470,384,530
"G3600910","2022","NY",,,"New York","36","Saratoga County","091",,,,,,,,,,,,,,,,,,"0500000US36091","36091","Saratoga County, New York",238797,118545,5166,5345,7906,4277,2649,1479,830,5002,6663,7752,7985,7585,7497,8595,9624,4087,3686,3685,4226,5844,4746,2229,1687,120252,5082,6676,5795,4622,2518,1815,1711,3828,6701,7092,7871,7298,7253,7987,9268,3783,4882,2584,4770,7014,6113,3310,2279,"Saratoga County, New York",,801,319,955,1065,548,312,640,517,783,411,748,1310,1189,526,399,1073,1017,816,963,866,887,617,604,470,801,405,863,911,796,229,757,687,1075,420,440,1129,1086,420,261,1228,1008,1200,604,789,858,811,788,623
"G3600930","2022","NY",,,"New York","36","Schenectady County","093",,,,,,,,,,,,,,,,,,"0500000US36093","36093","Schenectady County, New York",160093,78002,5234,4132,4721,2906,3058,690,1392,2775,5176,5080,4975,5102,4629,5652,5456,2027,2667,2051,2121,3400,2629,1195,934,82091,4226,5186,5005,2316,1775,1291,944,3428,5410,5711,4415,4671,5186,5123,4932,2368,4047,2179,2375,4221,2703,1715,2864,"Schenectady County, New York",,1107,572,891,1116,1011,1001,391,558,938,675,598,990,977,606,839,956,856,722,660,592,584,541,490,379,1107,516,1437,1039,446,649,521,611,834,829,830,1087,1023,1139,816,975,756,914,701,607,637,681,673,604
"G3601010","2022","NY",,,"New York","36","Steuben County","101",,,,,,,,,,,,,,,,,,"0500000US36101","36101","Steuben County, New York",92599,46368,2712,2098,3558,1704,921,926,298,1372,2603,3031,3044,2371,2672,2947,2951,1863,2235,1378,1598,2522,1895,823,846,46231,2242,2857,2660,1742,909,178,425,1826,2438,2781,3026,2454,2594,2977,3182,1329,2379,1252,1701,2641,2180,1192,1266,"Steuben County, New York",,375,271,496,544,70,39,478,208,480,176,384,503,494,272,109,470,425,453,374,319,401,378,283,376,375,74,561,535,117,156,132,219,272,110,222,560,570,145,99,436,345,389,380,447,494,392,296,348
"G3601030","2022","NY",,,"New York","36","Suffolk County","103",,,,,,,,,,,,,,,,,,"0500000US36103","36103","Suffolk County, New York",1525465,757801,39764,39987,48162,30206,20314,8419,9267,34280,48516,47464,47172,45876,46948,54353,59694,22674,31288,18706,23283,32530,24475,13584,10839,767664,38166,40795,43964,28406,18659,9579,9674,30408,45712,44697,43682,45338,45589,54332,59713,24575,30291,20482,24578,37169,31557,19407,20891,"Suffolk County, New York",,110,202,3058,3073,97,120,1770,1886,2263,238,4,3586,3598,206,137,2873,2631,2347,1507,1927,2037,1430,1330,1380,110,45,2980,2975,115,438,1968,1782,2599,115,76,2612,2651,4,210,2826,2792,2572,1702,1503,1954,2061,2099,1671
"G3601050","2022","NY",,,"New York","36","Sullivan County","105",,,,,,,,,,,,,,,,,,"0500000US36105","36105","Sullivan County, New York",79658,41770,2275,2428,2173,1522,901,300,410,1374,2345,2565,3818,2380,2383,3206,2403,1385,2121,1045,1734,2234,1419,832,517,37888,1975,2241,2475,1267,630,209,1105,668,1952,2971,2127,2887,1861,2097,3582,862,1406,808,1291,2324,1325,962,863,"Sullivan County, New York",,632,401,441,501,225,502,769,275,571,445,545,998,615,601,763,649,506,647,348,613,596,444,391,319,632,492,539,542,329,409,196,577,416,403,638,609,671,379,223,603,365,436,352,415,523,466,418,398
"G3601090","2022","NY",,,"New York","36","Tompkins County","109",,,,,,,,,,,,,,,,,,"0500000US36109","36109","Tompkins County, New York",104777,51827,2064,1975,2125,1247,6170,2865,2095,3864,3143,3056,2424,2666,2570,2282,2198,1266,2001,1498,1094,2319,1120,658,1127,52950,808,1455,2157,1786,4938,1282,3650,4357,3221,2938,2635,3580,2743,2249,2527,1679,1808,1257,1688,2206,1759,1186,1041,"Tompkins County, New York",,956,403,583,682,590,1122,1144,708,1483,537,466,709,556,345,159,470,431,721,484,331,477,431,350,416,956,397,423,456,692,916,460,1306,1168,426,390,769,711,654,126,588,555,541,516,467,561,615,535,435
"G3601110","2022","NY",,,"New York","36","Ulster County","111",,,,,,,,,,,,,,,,,,"0500000US36111","36111","Ulster County, New York",182319,91214,4293,4623,4616,2934,2257,787,1965,2868,5846,6648,5065,5590,5728,6679,6359,2643,4222,1815,3959,5361,3031,2118,1807,91105,3301,4300,3621,2704,2562,2210,1299,3093,4418,5742,6156,5064,4933,6157,7202,2905,3737,2361,4020,5864,3960,2520,2976,"Ulster County, New York",,769,474,704,745,369,368,430,764,631,587,612,896,863,595,687,955,803,940,563,1080,610,641,536,521,769,469,794,590,394,268,1310,689,1245,449,622,1266,1301,383,692,957,719,781,630,802,751,778,627,701
"G3601130","2022","NY",,,"New York","36","Warren County","113",,,,,,,,,,,,,,,,,,"0500000US36113","36113","Warren County, New York",65599,32982,1621,1822,1263,972,288,460,97,1870,1996,2071,1829,1832,1655,2131,2609,774,1926,1099,1823,1960,1615,670,599,32617,1343,1687,1376,983,274,301,164,1410,1846,1904,1953,1661,1592,2123,2544,1086,1907,1032,1366,2301,1307,1333,1124,"Warren County, New York",,348,292,379,361,32,257,428,140,589,230,243,512,543,65,183,575,391,519,448,498,576,337,255,287,348,135,465,458,142,293,349,196,499,209,166,485,448,70,217,520,462,475,393,386,490,400,442,362
"G3601170","2022","NY",,,"New York","36","Wayne County","117",,,,,,,,,,,,,,,,,,"0500000US36117","36117","Wayne County, New York",91125,45772,2374,2808,2476,2097,873,561,375,1514,2443,3166,3234,2500,2414,2969,3126,1244,2303,1056,2380,2506,1963,843,547,45353,2462,2439,2303,1678,761,561,458,1314,2503,2753,2520,3121,2211,3165,3147,1182,2693,1463,1767,2359,2354,858,1281,"Wayne County, New York",,562,369,830,790,338,9,329,255,401,263,491,595,643,81,100,632,480,692,425,570,636,362,291,258,562,427,613,520,329,184,417,394,410,422,357,731,674,190,333,564,459,527,428,452,484,457,301,324
"G3601190","2022","NY",,,"New York","36","Westchester County","119",,,,,,,,,,,,,,,,,,"0500000US36119","36119","Westchester County, New York",990427,483295,25947,28441,31767,20378,12004,6506,4444,20276,27740,29151,32683,32142,32049,34765,33752,14379,18519,11713,14001,20497,13056,8947,10138,507132,24876,27056,29412,19020,13045,6302,6076,18184,27456,28472,29377,35547,32649,35673,35604,13474,21119,12775,16868,23535,17410,14394,18808,"Westchester County, New York",,348,81,2013,2029,191,807,1541,1397,2350,175,150,2506,2478,78,4,2445,2072,1952,1697,1626,1790,1467,1241,1385,348,170,1987,1989,295,1150,1533,1283,1866,129,4,2512,2520,46,180,2470,1690,2398,1584,1490,1634,1866,1708,1714
"G3700010","2022","NC",,,"North Carolina","37","Alamance County","001",,,,,,,,,,,,,,,,,,"0500000US37001","37001","Alamance County, North Carolina",176353,84865,4717,3629,7359,3833,3356,1208,1792,3071,5354,4979,5519,4691,5505,5782,5054,2992,3109,1584,3045,3285,2381,1862,758,91488,5013,5130,5376,2880,3693,2111,1392,2443,5491,5946,5065,6044,5491,5735,6711,2262,3110,1898,3919,4022,3518,2281,1957,"Alamance County, North Carolina",,1105,939,961,940,523,888,492,735,655,606,541,1026,1272,968,596,982,906,835,501,816,690,525,656,409,1105,920,1283,1238,523,686,811,702,762,646,91,1276,1330,372,466,1033,642,846,655,738,692,540,543,356
"G3700190","2022","NC",,,"North Carolina","37","Brunswick County","019",,,,,,,,,,,,,,,,,,"0500000US37019","37019","Brunswick County, North Carolina",153064,74586,2218,3525,3560,2253,1002,528,162,2281,3164,3504,4434,2841,3047,4640,5116,2035,4595,2577,5625,8259,5467,1893,1860,78478,2479,2661,2830,1759,1308,478,82,2511,2702,3339,4676,3221,4214,4164,6491,2136,5591,4190,5382,8573,5686,2250,1755,"Brunswick County, North Carolina",,1191,240,857,974,512,272,431,170,513,503,604,1250,750,245,766,899,733,968,524,984,1044,747,621,624,1191,621,673,776,404,506,408,140,797,132,444,1516,762,847,551,1096,660,964,986,1014,1156,780,604,558
"G3700210","2022","NC",,,"North Carolina","37","Buncombe County","021",,,,,,,,,,,,,,,,,,"0500000US37021","37021","Buncombe County, North Carolina",273589,130049,6208,5896,6437,3567,3724,1811,1470,4518,7910,9538,10214,9329,8588,7986,8698,3174,4271,3632,5323,7534,5038,3031,2152,143540,6628,8292,7019,3716,3343,2127,1766,4464,9873,9337,9231,10200,7555,8276,9258,3452,5917,3296,5870,9746,6946,3325,3903,"Buncombe County, North Carolina",,1488,909,1503,1467,306,734,923,1030,1067,769,743,2016,1886,844,477,1314,1135,1317,895,1055,1004,920,692,754,1488,1090,1420,1209,500,817,953,1073,1666,1170,294,1539,1520,421,508,1461,908,1152,1041,1026,1125,1058,729,894
"G3700230","2022","NC",,,"North Carolina","37","Burke County","023",,,,,,,,,,,,,,,,,,"0500000US37023","37023","Burke County, North Carolina",87881,44267,1957,2127,2105,1800,386,1044,661,1709,2395,2912,1621,3053,4048,2983,3830,1215,1948,940,1652,2359,1845,765,912,43614,2628,2102,1846,1068,110,919,75,1363,2133,2634,1983,2861,3106,3129,3320,1794,2127,871,2050,2554,2037,1906,998,"Burke County, North Carolina",,780,496,595,665,505,260,579,408,547,357,536,699,750,873,245,739,598,658,384,510,548,439,380,506,780,794,483,429,116,146,346,114,431,222,483,745,919,564,336,764,566,786,349,498,566,587,624,314
"G3700250","2022","NC",,,"North Carolina","37","Cabarrus County","025",,,,,,,,,,,,,,,,,,"0500000US37025","37025","Cabarrus County, North Carolina",235797,115345,7391,8205,8932,5131,3753,1110,1382,4054,6912,6549,9736,8385,7676,8167,7755,2436,3775,1828,3131,3592,2647,1149,1649,120452,6682,7763,8627,5632,2133,1926,1201,3878,7199,7491,8730,9949,8557,7965,7375,2629,4255,3173,3490,4466,3467,2110,1754,"Cabarrus County, North Carolina",,1521,959,1587,1603,983,987,641,613,1027,477,947,1645,1507,915,624,1025,828,897,668,800,850,673,546,685,1521,1109,1435,1377,935,531,880,616,1162,611,993,1770,1600,985,385,1091,815,905,819,833,847,788,722,686
"G3700270","2022","NC",,,"North Carolina","37","Caldwell County","027",,,,,,,,,,,,,,,,,,"0500000US37027","37027","Caldwell County, North Carolina",80492,39185,1999,1436,3149,1302,755,371,365,1501,2141,2211,1762,2169,3043,3256,2496,1417,2030,1197,1376,2212,1310,882,805,41307,1567,2388,2564,1500,557,175,644,1886,2508,2301,2254,1917,2087,3173,3229,991,1810,1395,1576,2517,1816,1432,1020,"Caldwell County, North Carolina",,1125,526,574,842,189,271,248,302,375,179,160,660,644,771,348,844,770,813,493,512,577,380,348,374,1125,170,1065,637,302,395,229,427,900,263,230,777,771,96,302,681,414,644,580,485,680,480,523,386
